county,state,year,number_of_inmates_booked,average_daily_population
Scott,Illinois,2016,,
Scott,Illinois,2015,,
Scott,Illinois,2014,,
Scott,Illinois,2013,,
Scott,Illinois,2012,,
Scott,Illinois,2011,,
Scott,Illinois,2010,,
Scott,Illinois,2009,,
Scott,Illinois,2008,,
Scott,Illinois,2007,,
Scott,Illinois,2006,,
Scott,Illinois,2005,,
Scott,Illinois,2004,,
Scott,Illinois,2003,,
Scott,Illinois,2002,,
Scott,Illinois,2001,,
Scott,Illinois,2000,,
Scott,Illinois,1999,,
Scott,Illinois,1998,,
Scott,Illinois,1997,,
Scott,Illinois,1996,,
Scott,Illinois,1995,,
Scott,Illinois,1994,,
Scott,Illinois,1993,,
Scott,Illinois,1992,,
Scott,Illinois,1991,,
Scott,Illinois,1990,,
Scott,Illinois,1989,,
Scott,Illinois,1988,,
Scott,Illinois,1987,,
Scott,Illinois,1986,,
Scott,Illinois,1985,,
Scott,Illinois,1984,,
Scott,Illinois,1983,,
Scott,Illinois,1982,,
Scott,Illinois,1981,,
