county,state,year,number_of_inmates_booked,average_daily_population
Jo Daviess,Illinois,2016,539,12.4
Jo Daviess,Illinois,2015,454,11.4
Jo Daviess,Illinois,2014,492,15.4
Jo Daviess,Illinois,2013,473,14.2
Jo Daviess,Illinois,2012,556,10.2
Jo Daviess,Illinois,2011,616,12.6
Jo Daviess,Illinois,2010,685,14.7
Jo Daviess,Illinois,2009,675,15.8
Jo Daviess,Illinois,2008,699,19.4
Jo Daviess,Illinois,2007,689,19.1
Jo Daviess,Illinois,2006,740,19
Jo Daviess,Illinois,2005,992,25.3
Jo Daviess,Illinois,2004,1012,22.6
Jo Daviess,Illinois,2003,837,21.7
Jo Daviess,Illinois,2002,883,24.4
Jo Daviess,Illinois,2001,764,20.9
Jo Daviess,Illinois,2000,702,19.9
Jo Daviess,Illinois,1999,609,15.9
Jo Daviess,Illinois,1998,610,17
Jo Daviess,Illinois,1997,514,12
Jo Daviess,Illinois,1996,448,10
Jo Daviess,Illinois,1995,361,13
Jo Daviess,Illinois,1994,358,12.8
Jo Daviess,Illinois,1993,355,12.5
Jo Daviess,Illinois,1992,352,12.3
Jo Daviess,Illinois,1991,349,12
Jo Daviess,Illinois,1990,333,13.1
Jo Daviess,Illinois,1989,277,11
Jo Daviess,Illinois,1988,263,10
Jo Daviess,Illinois,1987,183,10
Jo Daviess,Illinois,1986,220,11
Jo Daviess,Illinois,1985,192,8
Jo Daviess,Illinois,1984,226,10
Jo Daviess,Illinois,1983,218,9
Jo Daviess,Illinois,1982,168,5
Jo Daviess,Illinois,1981,239,9
