county,state,year,number_of_inmates_booked,average_daily_population
Adams,Illinois,2016,2009,123.3
Adams,Illinois,2015,1863,121
Adams,Illinois,2014,1972,113.3
Adams,Illinois,2013,2119,98.5
Adams,Illinois,2012,2082,98.2
Adams,Illinois,2011,2297,109.6
Adams,Illinois,2010,2356,103.8
Adams,Illinois,2009,2354,93.5
Adams,Illinois,2008,2363,90
Adams,Illinois,2007,2424,98.9
Adams,Illinois,2006,2608,105.1
Adams,Illinois,2005,2409,102.7
Adams,Illinois,2004,2370,107.8
Adams,Illinois,2003,2601,109.2
Adams,Illinois,2002,2331,107.1
Adams,Illinois,2001,2041,77.6
Adams,Illinois,2000,2018,88.8
Adams,Illinois,1999,1538,86.9
Adams,Illinois,1998,1648,106
Adams,Illinois,1997,1388,89
Adams,Illinois,1996,1510,88
Adams,Illinois,1995,1472,74
Adams,Illinois,1994,1463.3,73.5
Adams,Illinois,1993,1454.5,73
Adams,Illinois,1992,1445.8,72.5
Adams,Illinois,1991,1437,72
Adams,Illinois,1990,1484,72
Adams,Illinois,1989,1396,51
Adams,Illinois,1988,1407,56
Adams,Illinois,1987,1528,78
Adams,Illinois,1986,1560,53
Adams,Illinois,1985,1563,59
Adams,Illinois,1984,1648,58
Adams,Illinois,1983,1948,52
Adams,Illinois,1982,2198,58
Adams,Illinois,1981,2083,52
