county,state,year,number_of_inmates_booked,average_daily_population
Jasper,Illinois,2016,414,22.1
Jasper,Illinois,2015,423,28.3
Jasper,Illinois,2014,304,19.2
Jasper,Illinois,2013,316,20.2
Jasper,Illinois,2012,277,19.6
Jasper,Illinois,2011,,
Jasper,Illinois,2010,249,7
Jasper,Illinois,2009,364,9.7
Jasper,Illinois,2008,209,11.8
Jasper,Illinois,2007,260,11.8
Jasper,Illinois,2006,270,10.8
Jasper,Illinois,2005,280,12.4
Jasper,Illinois,2004,334,13.5
Jasper,Illinois,2003,380,12.9
Jasper,Illinois,2002,339,14.1
Jasper,Illinois,2001,314,10.9
Jasper,Illinois,2000,327,8.3
Jasper,Illinois,1999,316,8.5
Jasper,Illinois,1998,278,9
Jasper,Illinois,1997,212,6
Jasper,Illinois,1996,195,8
Jasper,Illinois,1995,218,8
Jasper,Illinois,1994,218,8
Jasper,Illinois,1993,218,8
Jasper,Illinois,1992,218,8
Jasper,Illinois,1991,218,8
Jasper,Illinois,1990,272,7.5
Jasper,Illinois,1989,274,10
Jasper,Illinois,1988,163,7
Jasper,Illinois,1987,190,5
Jasper,Illinois,1986,129,3
Jasper,Illinois,1985,136,4
Jasper,Illinois,1984,106,3
Jasper,Illinois,1983,121,3
Jasper,Illinois,1982,108,3
Jasper,Illinois,1981,110,2
