county,state,year,number_of_inmates_booked,average_daily_population
Perry,Illinois,2016,859,50.5
Perry,Illinois,2015,845,52.8
Perry,Illinois,2014,821,45.2
Perry,Illinois,2013,870,53.3
Perry,Illinois,2012,959,65.4
Perry,Illinois,2011,1065,56
Perry,Illinois,2010,1020,53.9
Perry,Illinois,2009,1034,64.6
Perry,Illinois,2008,972,59
Perry,Illinois,2007,994,59.4
Perry,Illinois,2006,879,58.6
Perry,Illinois,2005,857,51.6
Perry,Illinois,2004,883,59.9
Perry,Illinois,2003,1055,65.2
Perry,Illinois,2002,1012,57.4
Perry,Illinois,2001,995,46.4
Perry,Illinois,2000,765,42.1
Perry,Illinois,1999,786,46.1
Perry,Illinois,1998,844,45
Perry,Illinois,1997,670,34
Perry,Illinois,1996,722,42
Perry,Illinois,1995,731,40
Perry,Illinois,1994,673.8,37
Perry,Illinois,1993,616.5,34
Perry,Illinois,1992,559.3,31
Perry,Illinois,1991,502,28
Perry,Illinois,1990,519,33.8
Perry,Illinois,1989,688,33
Perry,Illinois,1988,701,26
Perry,Illinois,1987,449,14
Perry,Illinois,1986,558,13
Perry,Illinois,1985,390,13
Perry,Illinois,1984,299,11
Perry,Illinois,1983,248,8
Perry,Illinois,1982,252,7
Perry,Illinois,1981,200,6
