county,state,year,number_of_inmates_booked,average_daily_population
Jefferson,Illinois,2016,1634,103.5
Jefferson,Illinois,2015,1772,93.2
Jefferson,Illinois,2014,1990,77.6
Jefferson,Illinois,2013,2013,85.5
Jefferson,Illinois,2012,5294,203.8
Jefferson,Illinois,2011,4644,195.5
Jefferson,Illinois,2010,4550,194.2
Jefferson,Illinois,2009,3705,168
Jefferson,Illinois,2008,2852,122.9
Jefferson,Illinois,2007,2715,119.9
Jefferson,Illinois,2006,3793,171.1
Jefferson,Illinois,2005,3825,130.2
Jefferson,Illinois,2004,1929,77.5
Jefferson,Illinois,2003,1529,72.1
Jefferson,Illinois,2002,1225,60.7
Jefferson,Illinois,2001,1128,55.1
Jefferson,Illinois,2000,1190,48.9
Jefferson,Illinois,1999,1219,42.7
Jefferson,Illinois,1998,1193,28
Jefferson,Illinois,1997,1019,31
Jefferson,Illinois,1996,996,29
Jefferson,Illinois,1995,1167,37
Jefferson,Illinois,1994,1088,35.3
Jefferson,Illinois,1993,1009,33.5
Jefferson,Illinois,1992,930,31.8
Jefferson,Illinois,1991,851,30
Jefferson,Illinois,1990,730,36.1
Jefferson,Illinois,1989,796,37
Jefferson,Illinois,1988,746,36
Jefferson,Illinois,1987,754,34
Jefferson,Illinois,1986,715,28
Jefferson,Illinois,1985,711,26
Jefferson,Illinois,1984,762,21
Jefferson,Illinois,1983,705,18
Jefferson,Illinois,1982,593,18
Jefferson,Illinois,1981,540,12
