county,state,year,number_of_inmates_booked,average_daily_population
Hardin,Illinois,2016,97,2.5
Hardin,Illinois,2015,133,2.2
Hardin,Illinois,2014,100,2.6
Hardin,Illinois,2013,114,3.9
Hardin,Illinois,2012,246,5.6
Hardin,Illinois,2011,260,3.9
Hardin,Illinois,2010,223,5
Hardin,Illinois,2009,236,4.6
Hardin,Illinois,2008,243,5.8
Hardin,Illinois,2007,230,4
Hardin,Illinois,2006,174,2.6
Hardin,Illinois,2005,154,2.2
Hardin,Illinois,2004,116,1.8
Hardin,Illinois,2003,115,1.4
Hardin,Illinois,2002,83,0.9
Hardin,Illinois,2001,77,0.7
Hardin,Illinois,2000,82,0.4
Hardin,Illinois,1999,81,0.8
Hardin,Illinois,1998,46,0.4
Hardin,Illinois,1997,70,0.4
Hardin,Illinois,1996,63,0.5
Hardin,Illinois,1995,71,1
Hardin,Illinois,1994,71.5,1
Hardin,Illinois,1993,72,1
Hardin,Illinois,1992,72.5,1
Hardin,Illinois,1991,73,1
Hardin,Illinois,1990,13,1
Hardin,Illinois,1989,59,1
Hardin,Illinois,1988,56,2
Hardin,Illinois,1987,47,1
Hardin,Illinois,1986,43,1
Hardin,Illinois,1985,97,1
Hardin,Illinois,1984,64,1
Hardin,Illinois,1983,77,2
Hardin,Illinois,1982,120,2
Hardin,Illinois,1981,120,2
