county,state,year,number_of_inmates_booked,average_daily_population
Ford,Illinois,2016,422,23
Ford,Illinois,2015,494,20.7
Ford,Illinois,2014,448,25.8
Ford,Illinois,2013,537,36.8
Ford,Illinois,2012,578,27.3
Ford,Illinois,2011,634,32.7
Ford,Illinois,2010,661,32.2
Ford,Illinois,2009,635,39.5
Ford,Illinois,2008,703,37.2
Ford,Illinois,2007,759,48.6
Ford,Illinois,2006,685,41.8
Ford,Illinois,2005,701,37.4
Ford,Illinois,2004,632,38.9
Ford,Illinois,2003,699,44.4
Ford,Illinois,2002,610,43.7
Ford,Illinois,2001,662,34.6
Ford,Illinois,2000,585,36.9
Ford,Illinois,1999,613,37
Ford,Illinois,1998,546,35
Ford,Illinois,1997,546,29
Ford,Illinois,1996,537,35
Ford,Illinois,1995,247,29.8
Ford,Illinois,1994,247,24.6
Ford,Illinois,1993,247,19.4
Ford,Illinois,1992,247,14.2
Ford,Illinois,1991,247,9
Ford,Illinois,1990,206,9
Ford,Illinois,1989,226,11
Ford,Illinois,1988,164,5
Ford,Illinois,1987,212,8
Ford,Illinois,1986,197,7
Ford,Illinois,1985,164,8
Ford,Illinois,1984,133,12
Ford,Illinois,1983,120,3
Ford,Illinois,1982,138,3
Ford,Illinois,1981,174,2
