county,state,year,number_of_inmates_booked,average_daily_population
Bureau,Illinois,2016,641,27.6
Bureau,Illinois,2015,728,26
Bureau,Illinois,2014,678,23.3
Bureau,Illinois,2013,704,28.7
Bureau,Illinois,2012,633,19.6
Bureau,Illinois,2011,579,25.8
Bureau,Illinois,2010,593,22
Bureau,Illinois,2009,701,26.8
Bureau,Illinois,2008,746,27.8
Bureau,Illinois,2007,829,25.4
Bureau,Illinois,2006,743,23.5
Bureau,Illinois,2005,981,25.9
Bureau,Illinois,2004,878,28.6
Bureau,Illinois,2003,942,30.6
Bureau,Illinois,2002,1062,29.1
Bureau,Illinois,2001,997,22.4
Bureau,Illinois,2000,1116,22.2
Bureau,Illinois,1999,1116,24.9
Bureau,Illinois,1998,1291,26
Bureau,Illinois,1997,1084,28
Bureau,Illinois,1996,1141,25
Bureau,Illinois,1995,529,25
Bureau,Illinois,1994,665,24
Bureau,Illinois,1993,801,23
Bureau,Illinois,1992,937,22
Bureau,Illinois,1991,1073,21
Bureau,Illinois,1990,1091,20.9
Bureau,Illinois,1989,953,19
Bureau,Illinois,1988,898,19
Bureau,Illinois,1987,960,19
Bureau,Illinois,1986,969,16
Bureau,Illinois,1985,1424,21
Bureau,Illinois,1984,985,19
Bureau,Illinois,1983,1262,18
Bureau,Illinois,1982,995,17
Bureau,Illinois,1981,1041,16
