county,state,year,number_of_inmates_booked,average_daily_population
Fulton,Illinois,2016,611,49.2
Fulton,Illinois,2015,674,54.6
Fulton,Illinois,2014,863,62
Fulton,Illinois,2013,843,76.5
Fulton,Illinois,2012,1034,91.2
Fulton,Illinois,2011,925,76.1
Fulton,Illinois,2010,925,64.4
Fulton,Illinois,2009,1116,60.1
Fulton,Illinois,2008,934,52.2
Fulton,Illinois,2007,943,57.1
Fulton,Illinois,2006,1045,60.6
Fulton,Illinois,2005,1105,62.5
Fulton,Illinois,2004,1293,65.7
Fulton,Illinois,2003,1302,59.7
Fulton,Illinois,2002,1289,48.8
Fulton,Illinois,2001,1137,37.2
Fulton,Illinois,2000,1203,39.7
Fulton,Illinois,1999,1098,39.6
Fulton,Illinois,1998,1010,35
Fulton,Illinois,1997,807,32
Fulton,Illinois,1996,640,33
Fulton,Illinois,1995,657,36
Fulton,Illinois,1994,630.8,34
Fulton,Illinois,1993,604.5,32
Fulton,Illinois,1992,578.3,30
Fulton,Illinois,1991,552,28
Fulton,Illinois,1990,448,25.4
Fulton,Illinois,1989,449,30
Fulton,Illinois,1988,383,30
Fulton,Illinois,1987,421,33
Fulton,Illinois,1986,343,24
Fulton,Illinois,1985,406,30
Fulton,Illinois,1984,410,26
Fulton,Illinois,1983,341,18
Fulton,Illinois,1982,281,15
Fulton,Illinois,1981,279,16
