county,state,year,number_of_inmates_booked,average_daily_population
Rock Island,Illinois,2016,7101,240.8
Rock Island,Illinois,2015,7204,238.9
Rock Island,Illinois,2014,7220,248.8
Rock Island,Illinois,2013,8307,259.6
Rock Island,Illinois,2012,8801,247.6
Rock Island,Illinois,2011,9560,231.6
Rock Island,Illinois,2010,9827,258.7
Rock Island,Illinois,2009,11726,279.1
Rock Island,Illinois,2008,12056,282.8
Rock Island,Illinois,2007,11596,287.7
Rock Island,Illinois,2006,10589,268.2
Rock Island,Illinois,2005,9829,244.4
Rock Island,Illinois,2004,9879,248.1
Rock Island,Illinois,2003,10470,235.5
Rock Island,Illinois,2002,10233,238
Rock Island,Illinois,2001,9174,166.9
Rock Island,Illinois,2000,7582,190.8
Rock Island,Illinois,1999,7194,201.8
Rock Island,Illinois,1998,7176,197
Rock Island,Illinois,1997,6865,202
Rock Island,Illinois,1996,6463,188
Rock Island,Illinois,1995,6322,191
Rock Island,Illinois,1994,6145.5,189.8
Rock Island,Illinois,1993,5969,188.5
Rock Island,Illinois,1992,5792.5,187.3
Rock Island,Illinois,1991,5616,186
Rock Island,Illinois,1990,5255,185.5
Rock Island,Illinois,1989,5088,155
Rock Island,Illinois,1988,4346,48
Rock Island,Illinois,1987,4352,136
Rock Island,Illinois,1986,4000,147
Rock Island,Illinois,1985,2520,90
Rock Island,Illinois,1984,1835,88
Rock Island,Illinois,1983,2246,88
Rock Island,Illinois,1982,2401,72
Rock Island,Illinois,1981,2792,75
