county,state,year,number_of_inmates_booked,average_daily_population
Lawrence,Illinois,2016,1156,28.1
Lawrence,Illinois,2015,1304,40
Lawrence,Illinois,2014,1216,28.1
Lawrence,Illinois,2013,1032,24.3
Lawrence,Illinois,2012,1928,48.5
Lawrence,Illinois,2011,1272,18.9
Lawrence,Illinois,2010,1138,17.9
Lawrence,Illinois,2009,1112,12.6
Lawrence,Illinois,2008,963,12.1
Lawrence,Illinois,2007,1024,15.5
Lawrence,Illinois,2006,1086,19.5
Lawrence,Illinois,2005,624,20.8
Lawrence,Illinois,2004,573,20.8
Lawrence,Illinois,2003,522,19.4
Lawrence,Illinois,2002,441,13.5
Lawrence,Illinois,2001,361,8.9
Lawrence,Illinois,2000,365,9
Lawrence,Illinois,1999,293,7.2
Lawrence,Illinois,1998,237,5
Lawrence,Illinois,1997,163,5
Lawrence,Illinois,1996,163,7
Lawrence,Illinois,1995,149,4
Lawrence,Illinois,1994,155.8,3.8
Lawrence,Illinois,1993,162.5,3.5
Lawrence,Illinois,1992,169.3,3.3
Lawrence,Illinois,1991,176,3
Lawrence,Illinois,1990,242,4.3
Lawrence,Illinois,1989,218,3
Lawrence,Illinois,1988,203,2
Lawrence,Illinois,1987,274,4
Lawrence,Illinois,1986,285,5
Lawrence,Illinois,1985,243,3
Lawrence,Illinois,1984,264,3
Lawrence,Illinois,1983,322,3
Lawrence,Illinois,1982,235,5
Lawrence,Illinois,1981,281,3
