county,state,year,number_of_inmates_booked,average_daily_population
Monroe,Illinois,2016,560,15.8
Monroe,Illinois,2015,486,13
Monroe,Illinois,2014,452,8.2
Monroe,Illinois,2013,436,9.3
Monroe,Illinois,2012,413,7.9
Monroe,Illinois,2011,398,19.4
Monroe,Illinois,2010,454,9.4
Monroe,Illinois,2009,448,10.1
Monroe,Illinois,2008,623,12
Monroe,Illinois,2007,765,9.3
Monroe,Illinois,2006,545,10.3
Monroe,Illinois,2005,578,9.3
Monroe,Illinois,2004,617,7.6
Monroe,Illinois,2003,715,9.8
Monroe,Illinois,2002,480,7.3
Monroe,Illinois,2001,351,7.5
Monroe,Illinois,2000,369,7.1
Monroe,Illinois,1999,367,11.2
Monroe,Illinois,1998,397,7
Monroe,Illinois,1997,323,7
Monroe,Illinois,1996,326,6
Monroe,Illinois,1995,283,6
Monroe,Illinois,1994,277,6.5
Monroe,Illinois,1993,271,7
Monroe,Illinois,1992,265,7.5
Monroe,Illinois,1991,259,8
Monroe,Illinois,1990,330,9.3
Monroe,Illinois,1989,348,8
Monroe,Illinois,1988,403,10
Monroe,Illinois,1987,301,8
Monroe,Illinois,1986,287,6
Monroe,Illinois,1985,203,6
Monroe,Illinois,1984,181,6
Monroe,Illinois,1983,192,5
Monroe,Illinois,1982,198,4
Monroe,Illinois,1981,238,5
