county,state,year,number_of_inmates_booked,average_daily_population
Pope,Illinois,2016,,
Pope,Illinois,2015,,
Pope,Illinois,2014,,
Pope,Illinois,2013,,
Pope,Illinois,2012,,
Pope,Illinois,2011,,
Pope,Illinois,2010,,
Pope,Illinois,2009,,
Pope,Illinois,2008,,
Pope,Illinois,2007,,
Pope,Illinois,2006,,
Pope,Illinois,2005,,
Pope,Illinois,2004,,
Pope,Illinois,2003,,
Pope,Illinois,2002,,
Pope,Illinois,2001,,
Pope,Illinois,2000,,
Pope,Illinois,1999,,
Pope,Illinois,1998,,
Pope,Illinois,1997,,
Pope,Illinois,1996,,
Pope,Illinois,1995,,
Pope,Illinois,1994,,
Pope,Illinois,1993,,
Pope,Illinois,1992,,
Pope,Illinois,1991,,
Pope,Illinois,1990,,
Pope,Illinois,1989,,
Pope,Illinois,1988,,
Pope,Illinois,1987,,
Pope,Illinois,1986,,
Pope,Illinois,1985,,
Pope,Illinois,1984,,
Pope,Illinois,1983,108,2
Pope,Illinois,1982,110,2
Pope,Illinois,1981,54,1
