county,state,year,number_of_inmates_booked,average_daily_population
Schuyler,Illinois,2016,569,18.4
Schuyler,Illinois,2015,578,14.9
Schuyler,Illinois,2014,750,22.4
Schuyler,Illinois,2013,835,25.7
Schuyler,Illinois,2012,944,25.9
Schuyler,Illinois,2011,676,20.6
Schuyler,Illinois,2010,799,22.9
Schuyler,Illinois,2009,799,28.3
Schuyler,Illinois,2008,836,31.4
Schuyler,Illinois,2007,825,34.9
Schuyler,Illinois,2006,870,23.6
Schuyler,Illinois,2005,838,21.4
Schuyler,Illinois,2004,798,22.2
Schuyler,Illinois,2003,499,25.5
Schuyler,Illinois,2002,608,23.2
Schuyler,Illinois,2001,606,9.8
Schuyler,Illinois,2000,642,13.4
Schuyler,Illinois,1999,608,11
Schuyler,Illinois,1998,495,13
Schuyler,Illinois,1997,399,11
Schuyler,Illinois,1996,249,9
Schuyler,Illinois,1995,234,10
Schuyler,Illinois,1994,261.8,9
Schuyler,Illinois,1993,289.5,8
Schuyler,Illinois,1992,317.2,7
Schuyler,Illinois,1991,345,6
Schuyler,Illinois,1990,263,5.4
Schuyler,Illinois,1989,273,4
Schuyler,Illinois,1988,91,4
Schuyler,Illinois,1987,,4
Schuyler,Illinois,1986,23,1
Schuyler,Illinois,1985,69,2
Schuyler,Illinois,1984,109,3
Schuyler,Illinois,1983,174,5
Schuyler,Illinois,1982,108,2
Schuyler,Illinois,1981,103,2
