county,state,year,number_of_inmates_booked,average_daily_population
Kankakee,Illinois,2016,4451,561
Kankakee,Illinois,2015,4358,581.7
Kankakee,Illinois,2014,5212,620.2
Kankakee,Illinois,2013,13080,793.6
Kankakee,Illinois,2012,12777,753.3
Kankakee,Illinois,2011,5544,663.5
Kankakee,Illinois,2010,6734,626.1
Kankakee,Illinois,2009,7209,323.3
Kankakee,Illinois,2008,9943,30.2
Kankakee,Illinois,2007,10978,26.3
Kankakee,Illinois,2006,9535,33.5
Kankakee,Illinois,2005,5913,49
Kankakee,Illinois,2004,5089,230.9
Kankakee,Illinois,2003,7045,281.7
Kankakee,Illinois,2002,7319,240.3
Kankakee,Illinois,2001,6282,188.9
Kankakee,Illinois,2000,4898,166.8
Kankakee,Illinois,1999,5704,247
Kankakee,Illinois,1998,5300,124
Kankakee,Illinois,1997,5398,122
Kankakee,Illinois,1996,5112,115
Kankakee,Illinois,1995,4739,81
Kankakee,Illinois,1994,4739,81
Kankakee,Illinois,1993,4739,81
Kankakee,Illinois,1992,4739,81
Kankakee,Illinois,1991,4739,81
Kankakee,Illinois,1990,4401,81.2
Kankakee,Illinois,1989,4764,62
Kankakee,Illinois,1988,4174,32
Kankakee,Illinois,1987,3472,28
Kankakee,Illinois,1986,2121,29
Kankakee,Illinois,1985,2115,61
Kankakee,Illinois,1984,2453,63
Kankakee,Illinois,1983,2430,67
Kankakee,Illinois,1982,2219,69
Kankakee,Illinois,1981,2245,62
