county,state,year,number_of_inmates_booked,average_daily_population
Effingham,Illinois,2016,1869,58.3
Effingham,Illinois,2015,1908,53.5
Effingham,Illinois,2014,1828,60.8
Effingham,Illinois,2013,1942,65.5
Effingham,Illinois,2012,1958,66.3
Effingham,Illinois,2011,2151,68.1
Effingham,Illinois,2010,2697,73.7
Effingham,Illinois,2009,2637,60.4
Effingham,Illinois,2008,2409,44.9
Effingham,Illinois,2007,2107,41
Effingham,Illinois,2006,1965,54.4
Effingham,Illinois,2005,2094,45.9
Effingham,Illinois,2004,1908,53.4
Effingham,Illinois,2003,1889,49.6
Effingham,Illinois,2002,1926,46.2
Effingham,Illinois,2001,1782,39
Effingham,Illinois,2000,1808,37.2
Effingham,Illinois,1999,1914,37.6
Effingham,Illinois,1998,2179,41
Effingham,Illinois,1997,2013,38
Effingham,Illinois,1996,1609,37
Effingham,Illinois,1995,1217,26
Effingham,Illinois,1994,1239.8,23
Effingham,Illinois,1993,1262.5,20
Effingham,Illinois,1992,1285.3,17
Effingham,Illinois,1991,1308,14
Effingham,Illinois,1990,1282,9.1
Effingham,Illinois,1989,1211,10
Effingham,Illinois,1988,1087,8
Effingham,Illinois,1987,1187,11
Effingham,Illinois,1986,1006,12
Effingham,Illinois,1985,1218,9
Effingham,Illinois,1984,935,7
Effingham,Illinois,1983,1060,8
Effingham,Illinois,1982,1123,7
Effingham,Illinois,1981,1182,11
