county,state,year,number_of_inmates_booked,average_daily_population
Hamilton,Illinois,2016,,
Hamilton,Illinois,2015,,
Hamilton,Illinois,2014,,
Hamilton,Illinois,2013,,
Hamilton,Illinois,2012,,
Hamilton,Illinois,2011,,
Hamilton,Illinois,2010,,
Hamilton,Illinois,2009,,
Hamilton,Illinois,2008,,
Hamilton,Illinois,2007,,
Hamilton,Illinois,2006,,
Hamilton,Illinois,2005,,
Hamilton,Illinois,2004,,
Hamilton,Illinois,2003,,
Hamilton,Illinois,2002,,
Hamilton,Illinois,2001,,
Hamilton,Illinois,2000,,
Hamilton,Illinois,1999,,
Hamilton,Illinois,1998,,
Hamilton,Illinois,1997,,
Hamilton,Illinois,1996,,
Hamilton,Illinois,1995,,
Hamilton,Illinois,1994,,
Hamilton,Illinois,1993,,
Hamilton,Illinois,1992,,
Hamilton,Illinois,1991,,
Hamilton,Illinois,1990,,
Hamilton,Illinois,1989,,
Hamilton,Illinois,1988,58,5
Hamilton,Illinois,1987,113,4
Hamilton,Illinois,1986,114,5
Hamilton,Illinois,1985,135,6
Hamilton,Illinois,1984,193,5
Hamilton,Illinois,1983,138,3
Hamilton,Illinois,1982,153,3
Hamilton,Illinois,1981,100,2
