county,state,year,number_of_inmates_booked,average_daily_population
Menard,Illinois,2016,194,10.8
Menard,Illinois,2015,179,10.4
Menard,Illinois,2014,266,10.8
Menard,Illinois,2013,247,10.4
Menard,Illinois,2012,229,13.5
Menard,Illinois,2011,291,15.1
Menard,Illinois,2010,299,12
Menard,Illinois,2009,335,12.6
Menard,Illinois,2008,393,13.8
Menard,Illinois,2007,542,13.8
Menard,Illinois,2006,555,14.2
Menard,Illinois,2005,503,14
Menard,Illinois,2004,509,17.4
Menard,Illinois,2003,747,15.2
Menard,Illinois,2002,165,11.1
Menard,Illinois,2001,123,13
Menard,Illinois,2000,166,14.2
Menard,Illinois,1999,143,14.4
Menard,Illinois,1998,165,11
Menard,Illinois,1997,161,11
Menard,Illinois,1996,106,9
Menard,Illinois,1995,99,10
Menard,Illinois,1994,123.8,11.3
Menard,Illinois,1993,148.5,12.5
Menard,Illinois,1992,173.3,13.8
Menard,Illinois,1991,198,15
Menard,Illinois,1990,130,12.8
Menard,Illinois,1989,171,16
Menard,Illinois,1988,159,13
Menard,Illinois,1987,96,10
Menard,Illinois,1986,75,7
Menard,Illinois,1985,34,2
Menard,Illinois,1984,35,2
Menard,Illinois,1983,55,3
Menard,Illinois,1982,72,2
Menard,Illinois,1981,45,4
