county,state,year,number_of_inmates_booked,average_daily_population
Grundy,Illinois,2016,1477,44.4
Grundy,Illinois,2015,1341,35.9
Grundy,Illinois,2014,1264,40
Grundy,Illinois,2013,1354,42.6
Grundy,Illinois,2012,1426,37.5
Grundy,Illinois,2011,1657,38.6
Grundy,Illinois,2010,1027,37.9
Grundy,Illinois,2009,1233,36.2
Grundy,Illinois,2008,1335,42.5
Grundy,Illinois,2007,1380,39.7
Grundy,Illinois,2006,1282,31.6
Grundy,Illinois,2005,1322,31.1
Grundy,Illinois,2004,1507,37.3
Grundy,Illinois,2003,1675,53.1
Grundy,Illinois,2002,1598,49.1
Grundy,Illinois,2001,1510,35.8
Grundy,Illinois,2000,1243,36.5
Grundy,Illinois,1999,964,29
Grundy,Illinois,1998,955,29
Grundy,Illinois,1997,1079,27
Grundy,Illinois,1996,919,25
Grundy,Illinois,1995,928,22
Grundy,Illinois,1994,894.8,23
Grundy,Illinois,1993,861.5,24
Grundy,Illinois,1992,828.3,25
Grundy,Illinois,1991,795,26
Grundy,Illinois,1990,700,23.2
Grundy,Illinois,1989,804,20
Grundy,Illinois,1988,612,13
Grundy,Illinois,1987,547,12
Grundy,Illinois,1986,669,10
Grundy,Illinois,1985,593,10
Grundy,Illinois,1984,636,13
Grundy,Illinois,1983,539,6
Grundy,Illinois,1982,551,6
Grundy,Illinois,1981,509,5
