county,state,year,number_of_inmates_booked,average_daily_population
Macoupin,Illinois,2016,1480,37
Macoupin,Illinois,2015,1494,43.8
Macoupin,Illinois,2014,1168,34.7
Macoupin,Illinois,2013,1190,39.1
Macoupin,Illinois,2012,1370,41.3
Macoupin,Illinois,2011,1389,38
Macoupin,Illinois,2010,1386,31.7
Macoupin,Illinois,2009,1507,27.3
Macoupin,Illinois,2008,1956,40
Macoupin,Illinois,2007,2236,43.6
Macoupin,Illinois,2006,2354,47.6
Macoupin,Illinois,2005,2506,58.8
Macoupin,Illinois,2004,2697,65.6
Macoupin,Illinois,2003,2784,59
Macoupin,Illinois,2002,2855,69
Macoupin,Illinois,2001,2204,56.2
Macoupin,Illinois,2000,2503,67.6
Macoupin,Illinois,1999,1830,49.9
Macoupin,Illinois,1998,1662,46
Macoupin,Illinois,1997,1393,49
Macoupin,Illinois,1996,1190,38
Macoupin,Illinois,1995,1181,32
Macoupin,Illinois,1994,1152.3,33.3
Macoupin,Illinois,1993,1123.5,34.5
Macoupin,Illinois,1992,1094.8,35.8
Macoupin,Illinois,1991,1066,37
Macoupin,Illinois,1990,829,27.4
Macoupin,Illinois,1989,684,20
Macoupin,Illinois,1988,665,14
Macoupin,Illinois,1987,531,16
Macoupin,Illinois,1986,507,16
Macoupin,Illinois,1985,548,11
Macoupin,Illinois,1984,526,11
Macoupin,Illinois,1983,553,14
Macoupin,Illinois,1982,518,14
Macoupin,Illinois,1981,433,14
