county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Harris,Texas,2017-12-01,4893,426,17,292,478,155,193,145,5,405,116,47,540,7707,5,7712,10162,75.89,1434,,,,
Harris,Texas,2017-11-01,4766,392,16,284,475,183,214,146,4,358,138,72,611,7655,4,7659,10162,75.37,1487,17,797,18289,1371675
Harris,Texas,2017-10-01,4910,374,22,268,490,155,215,169,4,360,149,66,681,7846,4,7850,10162,77.25,1296,22,742,17917,1343775
Harris,Texas,2017-09-01,4687,577,30,291,460,174,237,178,7,399,200,114,742,7979,7,7986,10162,78.59,1160,15,802,19199,1439925
Harris,Texas,2017-08-01,4920,539,67,317,469,215,293,153,5,512,181,109,803,8578,5,8583,10162,84.46,563,51,905,20109,1508175
Harris,Texas,2017-07-01,4833,589,82,290,458,221,358,168,6,512,180,108,862,8661,6,8667,10162,85.29,479,55,940,20520,1539000
Harris,Texas,2017-06-01,4905,527,95,268,520,416,359,170,5,562,107,116,770,8815,5,8820,10162,86.79,326,27,971,21666,1624950
Harris,Texas,2017-05-01,4873,534,72,258,544,483,316,170,6,587,102,113,729,8781,6,8787,10162,86.47,359,22,977,21974,1648050
Harris,Texas,2017-04-01,4856,457,61,241,539,357,361,162,3,538,120,145,784,8621,3,8624,10162,84.87,522,24,1014,22778,1708350
Harris,Texas,2017-03-01,5049,556,72,270,561,378,331,175,3,562,95,112,800,8853,3,8856,10162,87.15,290,24,1006,21506,1612950
Harris,Texas,2017-02-01,5219,432,87,273,564,440,317,167,2,569,76,113,793,8879,2,8881,10162,87.39,265,21,534,13062,979650
Harris,Texas,2017-01-01,5267,402,120,247,560,438,241,154,3,706,62,70,770,8630,3,8633,10162,84.95,513,29,855,20470,1535250
Harris,Texas,2016-12-01,5336,428,113,282,561,397,318,157,1,656,81,93,843,8843,1,8844,10162,87.03,302,18,860,19313,1448475
Harris,Texas,2016-11-01,5246,556,51,241,534,430,365,183,1,677,83,151,843,8998,1,8999,10162,88.56,147,22,888,20114,1508550
Harris,Texas,2016-10-01,5294,547,51,255,528,371,427,169,0,653,86,199,851,9004,0,9004,10162,88.6,142,25,863,19337,1450275
Harris,Texas,2016-09-01,5281,474,40,302,541,407,463,163,1,673,68,152,764,8952,1,8953,10162,88.1,193,22,786,18796,1409700
Harris,Texas,2016-08-01,5290,474,39,287,561,496,453,158,0,690,86,150,672,9082,0,9082,10162,89.37,64,28,740,17110,1283250
Harris,Texas,2016-07-01,5170,558,59,303,553,397,461,170,1,674,134,139,661,9101,1,9102,10162,89.57,44,36,942,21606,1620450
Harris,Texas,2016-06-01,5292,534,47,313,555,482,474,162,3,734,116,142,706,9334,3,9337,10162,91.88,0,29,678,15007,1125525
Harris,Texas,2016-05-01,5114,500,41,259,548,434,521,162,1,730,118,140,614,8984,1,8985,10162,88.42,161,36,578,12843,963225
Harris,Texas,2016-04-01,5002,455,45,242,528,485,481,156,0,655,130,124,714,9017,0,9017,10162,88.73,129,30,611,13736,1030200
