county,state,year,number_of_inmates_booked,average_daily_population
Marshall,Illinois,2016,306,6.2
Marshall,Illinois,2015,309,7
Marshall,Illinois,2014,347,6
Marshall,Illinois,2013,294,6.2
Marshall,Illinois,2012,427,7.5
Marshall,Illinois,2011,399,8.8
Marshall,Illinois,2010,416,6.4
Marshall,Illinois,2009,553,7.4
Marshall,Illinois,2008,489,5.7
Marshall,Illinois,2007,634,6.4
Marshall,Illinois,2006,533,5.7
Marshall,Illinois,2005,540,7
Marshall,Illinois,2004,531,5.9
Marshall,Illinois,2003,565,5.8
Marshall,Illinois,2002,492,5.5
Marshall,Illinois,2001,498,5.5
Marshall,Illinois,2000,590,4.5
Marshall,Illinois,1999,422,3.6
Marshall,Illinois,1998,341,5
Marshall,Illinois,1997,377,5
Marshall,Illinois,1996,335,5
Marshall,Illinois,1995,355,5
Marshall,Illinois,1994,365.5,5.3
Marshall,Illinois,1993,376,5.5
Marshall,Illinois,1992,386.5,5.8
Marshall,Illinois,1991,397,6
Marshall,Illinois,1990,364,6.3
Marshall,Illinois,1989,252,6
Marshall,Illinois,1988,235,7
Marshall,Illinois,1987,210,7
Marshall,Illinois,1986,235,6
Marshall,Illinois,1985,217,6
Marshall,Illinois,1984,204,8
Marshall,Illinois,1983,304,5
Marshall,Illinois,1982,224,5
Marshall,Illinois,1981,146,5
