county,state,year,number_of_inmates_booked,average_daily_population
Christian,Illinois,2016,1048,82.1
Christian,Illinois,2015,1021,74.7
Christian,Illinois,2014,976,71
Christian,Illinois,2013,1015,64.8
Christian,Illinois,2012,967,38.6
Christian,Illinois,2011,969,36
Christian,Illinois,2010,896,34.4
Christian,Illinois,2009,856,30.5
Christian,Illinois,2008,958,38.5
Christian,Illinois,2007,1104,40.6
Christian,Illinois,2006,1085,41.6
Christian,Illinois,2005,1326,49.1
Christian,Illinois,2004,1236,50.4
Christian,Illinois,2003,1164,43.6
Christian,Illinois,2002,984,33.3
Christian,Illinois,2001,838,21.6
Christian,Illinois,2000,980,21.7
Christian,Illinois,1999,1044,22.7
Christian,Illinois,1998,1165,25
Christian,Illinois,1997,966,25
Christian,Illinois,1996,955,16
Christian,Illinois,1995,997,5
Christian,Illinois,1994,907.8,6
Christian,Illinois,1993,818.5,7
Christian,Illinois,1992,729.3,8
Christian,Illinois,1991,640,9
Christian,Illinois,1990,607,7.5
Christian,Illinois,1989,684,8
Christian,Illinois,1988,780,9
Christian,Illinois,1987,717,18
Christian,Illinois,1986,631,11
Christian,Illinois,1985,592,9
Christian,Illinois,1984,670,9
Christian,Illinois,1983,691,6
Christian,Illinois,1982,545,8
Christian,Illinois,1981,416,8
