county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Live Oak,Texas,2017-12-01,22,5,0,2,2,4,0,0,0,1,0,1,2,39,11,50,96,52.08,36,,,,
Live Oak,Texas,2017-11-01,25,6,2,2,2,2,0,1,0,3,0,1,5,49,12,61,96,63.54,25,0,2,57,3075.72
Live Oak,Texas,2017-10-01,29,8,2,3,1,4,1,2,0,8,0,1,4,63,16,79,96,82.29,0,0,2,59,3183.64
Live Oak,Texas,2017-09-01,27,5,1,2,2,2,0,1,0,6,0,1,1,48,22,70,96,72.92,16,0,2,41,2212.36
Live Oak,Texas,2017-08-01,28,5,2,1,3,2,0,1,0,10,0,3,2,57,16,73,96,76.04,13,0,4,93,5018.28
Live Oak,Texas,2017-07-01,26,4,0,2,2,0,1,3,0,4,0,1,1,44,35,79,96,82.29,0,0,0,62,3345.52
Live Oak,Texas,2017-06-01,19,5,1,2,1,2,0,3,0,3,0,1,1,38,36,74,96,77.08,12,0,5,84,4532.64
Live Oak,Texas,2017-05-01,20,3,0,2,0,1,2,0,0,5,0,1,0,34,31,65,96,67.71,21,0,3,61,3291.56
Live Oak,Texas,2017-04-01,17,6,0,1,1,2,0,0,0,4,0,1,2,34,34,68,96,70.83,18,1,3,76,4100.96
Live Oak,Texas,2017-03-01,13,2,1,1,1,1,0,1,0,5,1,1,3,30,35,65,96,67.71,21,0,3,84,4532.64
Live Oak,Texas,2017-02-01,7,4,1,0,1,2,1,0,0,3,0,1,5,25,31,56,96,58.33,30,1,0,0,0
Live Oak,Texas,2017-01-01,16,5,0,1,1,4,0,1,0,4,0,1,4,37,33,70,96,72.92,16,2,2,62,3345.52
Live Oak,Texas,2016-12-01,17,5,1,1,2,1,0,0,0,3,0,1,5,36,26,62,96,64.58,24,2,3,84,4532.64
Live Oak,Texas,2016-11-01,18,5,0,0,2,2,0,0,0,8,0,2,8,45,29,74,96,77.08,12,0,4,106,5719.76
Live Oak,Texas,2016-10-01,14,13,0,0,2,2,0,0,0,5,0,2,7,45,28,73,96,76.04,13,0,4,96,5180.16
Live Oak,Texas,2016-09-01,15,8,0,1,4,1,1,0,0,8,1,2,6,47,27,74,96,77.08,12,1,5,122,6583.12
Live Oak,Texas,2016-08-01,13,8,0,5,0,5,0,0,0,9,0,2,7,49,40,89,96,92.71,0,1,4,94,5072.24
Live Oak,Texas,2016-07-01,16,9,0,1,3,3,0,0,0,5,0,1,6,44,42,86,96,89.58,0,0,3,90,4856.4
Live Oak,Texas,2016-06-01,19,2,0,0,4,3,0,0,0,4,0,0,3,35,36,71,96,73.96,15,0,3,93,5018.28
Live Oak,Texas,2016-05-01,18,4,0,0,4,4,0,0,0,4,0,0,0,34,26,60,96,62.5,26,0,3,90,4856.4
Live Oak,Texas,2016-04-01,14,5,0,0,3,0,0,0,0,5,0,0,0,27,24,51,96,53.13,35,1,3,91,4910.36
Live Oak,Texas,2016-03-01,12,5,0,0,2,1,0,0,0,1,1,0,2,24,31,55,96,57.29,31,0,1,2,107.92
Live Oak,Texas,2016-02-01,8,5,0,1,1,0,0,1,0,2,0,1,3,22,25,47,96,48.96,39,2,0,0,0
