county,state,year,number_of_inmates_booked,average_daily_population
DuPage,Illinois,2016,8817,656.3
DuPage,Illinois,2015,9239,653.8
DuPage,Illinois,2014,9295,680.4
DuPage,Illinois,2013,10203,758.1
DuPage,Illinois,2012,10355,776.2
DuPage,Illinois,2011,10921,750.4
DuPage,Illinois,2010,11535,789.3
DuPage,Illinois,2009,12896,808.7
DuPage,Illinois,2008,13241,845.6
DuPage,Illinois,2007,13945,803.2
DuPage,Illinois,2006,14624,814.5
DuPage,Illinois,2005,14649,779.4
DuPage,Illinois,2004,14564,759.4
DuPage,Illinois,2003,13834,705.9
DuPage,Illinois,2002,13666,695.2
DuPage,Illinois,2001,13620,621.2
DuPage,Illinois,2000,15242,696.7
DuPage,Illinois,1999,13788,632.7
DuPage,Illinois,1998,13525,603
DuPage,Illinois,1997,12440,501
DuPage,Illinois,1996,11021,405
DuPage,Illinois,1995,11257,394
DuPage,Illinois,1994,12354.8,387.3
DuPage,Illinois,1993,13452.5,380.5
DuPage,Illinois,1992,14550.3,373.8
DuPage,Illinois,1991,15648,367
DuPage,Illinois,1990,15443,369.5
DuPage,Illinois,1989,13375,359
DuPage,Illinois,1988,12683,268
DuPage,Illinois,1987,12962,284
DuPage,Illinois,1986,12138,277
DuPage,Illinois,1985,10519,220
DuPage,Illinois,1984,8684,165
DuPage,Illinois,1983,8052,139
DuPage,Illinois,1982,7520,134
DuPage,Illinois,1981,6998,134
