county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Crane,Texas,2017-12-01,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,24,25,16,,,,
Crane,Texas,2017-11-01,4,2,0,1,0,0,1,1,0,0,0,1,0,9,2,11,24,45.83,11,0,0,0,0
Crane,Texas,2017-10-01,4,2,0,0,0,0,0,1,0,0,0,2,0,9,0,9,24,37.5,13,0,0,0,0
Crane,Texas,2017-09-01,5,0,0,0,0,0,0,1,0,0,0,2,0,8,0,8,24,33.33,14,0,1,21,935.55
Crane,Texas,2017-08-01,2,0,0,0,0,3,0,1,0,0,0,1,0,7,0,7,24,29.17,15,0,1,31,1381.05
Crane,Texas,2017-07-01,1,0,0,0,0,4,3,2,0,0,0,1,0,11,0,11,24,45.83,11,0,1,1,44.55
Crane,Texas,2017-06-01,1,1,0,0,0,0,2,2,0,0,0,1,0,7,0,7,24,29.17,15,0,0,0,0
Crane,Texas,2017-05-01,2,2,0,0,0,2,2,2,0,0,0,1,0,11,0,11,24,45.83,11,0,0,0,0
Crane,Texas,2017-04-01,4,1,0,1,0,1,1,2,0,0,0,1,0,11,0,11,24,45.83,11,0,0,0,0
Crane,Texas,2017-03-01,5,0,0,0,0,2,2,2,0,2,0,0,0,13,0,13,24,54.17,0,0,1,22,980.1
Crane,Texas,2017-02-01,2,1,0,0,0,5,0,1,0,1,0,0,0,10,0,10,24,41.67,12,1,0,0,0
Crane,Texas,2017-01-01,3,1,0,0,0,1,2,1,0,2,0,0,0,10,0,10,24,41.67,12,0,0,0,0
Crane,Texas,2016-12-01,1,2,0,0,0,1,2,1,0,2,0,0,0,9,0,9,24,37.5,13,0,0,0,0
Crane,Texas,2016-11-01,4,1,0,0,1,1,2,1,0,4,0,0,0,13,1,14,24,58.33,0,1,0,0,0
Crane,Texas,2016-10-01,5,1,0,1,0,1,0,1,0,1,0,0,0,8,0,8,24,33.33,14,0,0,0,0
Crane,Texas,2016-09-01,4,1,0,0,1,0,1,1,0,1,0,0,0,9,0,9,24,37.5,13,0,0,0,0
Crane,Texas,2016-08-01,4,0,0,0,0,2,0,2,0,1,0,0,0,9,0,9,24,37.5,13,1,0,0,0
Crane,Texas,2016-07-01,3,0,0,0,1,2,0,0,0,1,0,0,0,7,0,7,24,29.17,15,0,0,0,0
Crane,Texas,2016-06-01,2,1,0,0,1,2,0,1,0,0,0,0,0,7,1,8,24,33.33,14,0,0,0,0
Crane,Texas,2016-05-01,4,0,0,0,0,1,1,2,0,0,0,0,0,8,0,8,24,33.33,14,0,0,0,0
Crane,Texas,2016-04-01,6,0,0,0,0,2,2,3,0,0,0,0,0,13,1,14,24,58.33,0,0,0,0,0
Crane,Texas,2016-03-01,3,0,0,0,0,1,1,3,0,0,0,0,0,8,1,9,24,37.5,13,0,0,0,0
Crane,Texas,2016-02-01,5,1,0,0,0,0,0,2,0,2,0,0,0,9,0,9,24,37.5,13,0,0,0,0
Crane,Texas,2016-01-01,2,0,0,0,0,1,1,2,0,4,0,0,0,9,0,9,24,37.5,13,0,0,0,0
Crane,Texas,2015-12-01,2,1,0,0,0,2,3,1,0,3,0,2,0,13,0,13,24,54.17,0,0,6,105,4843.65
Crane,Texas,2015-11-01,3,2,0,0,0,0,0,1,0,2,0,1,0,8,3,11,24,45.83,11,0,0,0,0
Crane,Texas,2015-10-01,5,0,0,0,0,1,4,1,0,1,0,0,0,11,3,14,24,58.33,0,0,0,0,0
Crane,Texas,2015-09-01,5,0,0,0,0,1,2,1,0,1,0,0,0,9,3,12,24,50,0,0,0,0,0
Crane,Texas,2015-08-01,4,0,0,0,0,0,4,1,0,1,0,1,0,10,1,11,24,45.83,11,0,0,0,0
Crane,Texas,2015-07-01,2,0,0,0,0,0,2,0,0,1,0,1,0,5,1,6,24,25,16,0,0,0,0
Crane,Texas,2015-06-01,3,0,0,0,0,2,1,0,0,1,0,1,0,7,2,9,24,37.5,13,0,0,0,0
Crane,Texas,2015-05-01,2,0,0,0,0,0,2,1,0,1,0,1,0,7,3,10,24,41.67,12,0,0,0,0
Crane,Texas,2015-04-01,2,1,0,0,0,1,1,1,0,1,0,1,0,8,2,10,24,41.67,12,0,0,0,0
