county,state,year,number_of_inmates_booked,average_daily_population
Peoria,Illinois,2016,7953,344.8
Peoria,Illinois,2015,8548,324.4
Peoria,Illinois,2014,8315,356
Peoria,Illinois,2013,9372,587.4
Peoria,Illinois,2012,10482,700.1
Peoria,Illinois,2011,10654,585.9
Peoria,Illinois,2010,11197,599.8
Peoria,Illinois,2009,13480,811.7
Peoria,Illinois,2008,13370,544.8
Peoria,Illinois,2007,14624,505.9
Peoria,Illinois,2006,16705,517.8
Peoria,Illinois,2005,15280,449.4
Peoria,Illinois,2004,14550,289.9
Peoria,Illinois,2003,15832,236.1
Peoria,Illinois,2002,16015,459
Peoria,Illinois,2001,12153,355.1
Peoria,Illinois,2000,16889,434.6
Peoria,Illinois,1999,15974,385.5
Peoria,Illinois,1998,16695,344
Peoria,Illinois,1997,17230,351
Peoria,Illinois,1996,16214,359
Peoria,Illinois,1995,13632,276
Peoria,Illinois,1994,13269,282.3
Peoria,Illinois,1993,12906,288.5
Peoria,Illinois,1992,12543,294.8
Peoria,Illinois,1991,12180,301
Peoria,Illinois,1990,11011,284.9
Peoria,Illinois,1989,10757,304
Peoria,Illinois,1988,9434,245
Peoria,Illinois,1987,9092,253
Peoria,Illinois,1986,8972,311
Peoria,Illinois,1985,8641,244
Peoria,Illinois,1984,8204,215
Peoria,Illinois,1983,8543,187
Peoria,Illinois,1982,7931,203
Peoria,Illinois,1981,7436,177
