county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Reeves (Private Facility),Texas,2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Reeves (Private Facility),Texas,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,864,,,,
Reeves (Private Facility),Texas,2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,687,960,71.56,177,,,,
Reeves (Private Facility),Texas,2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,856,960,89.17,0,,,,
Reeves (Private Facility),Texas,2006-10-01,0,0,0,0,0,0,0,0,864,0,0,0,0,0,864,864,960,90,0,,,,
Reeves (Private Facility),Texas,2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,864,960,90,0,,,,
Reeves (Private Facility),Texas,2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,864,960,90,0,,,,
Reeves (Private Facility),Texas,2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,864,960,90,0,,,,
Reeves (Private Facility),Texas,2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,960,89.79,0,,,,
Reeves (Private Facility),Texas,2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,960,89.79,0,,,,
Reeves (Private Facility),Texas,2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,960,89.79,0,,,,
Reeves (Private Facility),Texas,2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,960,89.79,0,,,,
Reeves (Private Facility),Texas,2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,863,960,89.9,0,,,,
Reeves (Private Facility),Texas,2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,862,960,89.79,0,,,,
