county,state,year,number_of_inmates_booked,average_daily_population
Franklin,Illinois,2016,2005,94.2
Franklin,Illinois,2015,2182,83.4
Franklin,Illinois,2014,2077,87.5
Franklin,Illinois,2013,2041,71.1
Franklin,Illinois,2012,2149,76.7
Franklin,Illinois,2011,2064,70
Franklin,Illinois,2010,2137,69.7
Franklin,Illinois,2009,2350,74.8
Franklin,Illinois,2008,2390,106.6
Franklin,Illinois,2007,2140,113.2
Franklin,Illinois,2006,2177,116.7
Franklin,Illinois,2005,1852,92.4
Franklin,Illinois,2004,1990,91.9
Franklin,Illinois,2003,1828,69
Franklin,Illinois,2002,1906,62.5
Franklin,Illinois,2001,1920,57.9
Franklin,Illinois,2000,1903,53.7
Franklin,Illinois,1999,1920,53.9
Franklin,Illinois,1998,2176,54
Franklin,Illinois,1997,1776,56
Franklin,Illinois,1996,1632,63
Franklin,Illinois,1995,1189,60
Franklin,Illinois,1994,1202,52.3
Franklin,Illinois,1993,1215,44.5
Franklin,Illinois,1992,1228,36.8
Franklin,Illinois,1991,1241,29
Franklin,Illinois,1990,1010,20
Franklin,Illinois,1989,1108,22
Franklin,Illinois,1988,972,20
Franklin,Illinois,1987,1012,22
Franklin,Illinois,1986,1012,29
Franklin,Illinois,1985,892,25
Franklin,Illinois,1984,1124,24
Franklin,Illinois,1983,208,7
Franklin,Illinois,1982,192,6
Franklin,Illinois,1981,505,10
