county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Marin,California,2020-03-01,159,24,54,14,251,142,37,179,41,31,72,293,5,51,33,23,293,386,10,25,,12,0,1,0,0,0,0,429,0,0,0,,,,,,,
Marin,California,2020-02-01,171,29,58,14,272,154,45,199,46,27,73,284,8,151,40,20,300,120,7,42,,13,0,1,0,0,0,0,549,0,0,0,,,,,,,
Marin,California,2020-01-01,179,30,51,13,273,169,39,208,40,25,65,283,6,105,24,25,347,133,5,48,,14,0,3,0,0,2,0,506,0,0,0,,,,,,,
Marin,California,2019-12-01,171,29,48,17,265,155,41,196,45,24,69,273,7,122,50,25,359,125,21,45,,11,0,5,0,0,0,0,580,0,0,0,,,,,,,
Marin,California,2019-11-01,169,25,60,18,272,143,46,189,51,32,83,282,8,189,44,21,221,167,14,36,,17,0,3,0,0,0,0,563,0,0,0,,,,,,,
Marin,California,2019-10-01,172,24,66,15,277,138,46,184,58,35,93,297,8,198,36,24,306,171,18,55,,15,0,3,0,0,0,0,622,0,0,0,,,,,,,
Marin,California,2019-09-01,182,28,59,15,284,156,50,206,54,24,78,298,13,172,33,26,348,155,18,40,,10,0,2,0,0,0,0,603,0,0,0,,,,,,,
Marin,California,2019-08-01,188,22,56,15,281,164,45,209,46,26,72,292,14,190,28,25,259,150,17,43,,14,0,4,0,0,1,2,661,0,0,0,,,,,,,
Marin,California,2019-07-01,182,25,61,9,277,155,43,198,52,27,79,296,19,166,41,25,324,81,19,45,,19,0,3,0,0,0,1,662,0,0,0,,,,,,,
Marin,California,2019-06-01,168,24,73,8,273,141,50,191,51,31,82,288,10,179,36,19,332,65,11,39,,16,0,2,0,0,1,2,695,0,0,0,,,,,,,
