county,state,year,number_of_inmates_booked,average_daily_population
Madison,Illinois,2016,5987,307.5
Madison,Illinois,2015,5414,294.6
Madison,Illinois,2014,5633,301
Madison,Illinois,2013,5902,283
Madison,Illinois,2012,5996,271.4
Madison,Illinois,2011,7113,294.4
Madison,Illinois,2010,6731,262.7
Madison,Illinois,2009,7658,253.8
Madison,Illinois,2008,7819,282.1
Madison,Illinois,2007,7805,262.9
Madison,Illinois,2006,8576,271.9
Madison,Illinois,2005,8667,269
Madison,Illinois,2004,5509,170.3
Madison,Illinois,2003,8074,272
Madison,Illinois,2002,8576,249.1
Madison,Illinois,2001,8364,246.2
Madison,Illinois,2000,7931,202.5
Madison,Illinois,1999,7643,214.4
Madison,Illinois,1998,6598,218
Madison,Illinois,1997,6220,203
Madison,Illinois,1996,5384,185
Madison,Illinois,1995,5306,195
Madison,Illinois,1994,4982.3,183.5
Madison,Illinois,1993,4658.5,172
Madison,Illinois,1992,4334.8,160.5
Madison,Illinois,1991,4011,149
Madison,Illinois,1990,3714,123.8
Madison,Illinois,1989,3549,104
Madison,Illinois,1988,3237,113
Madison,Illinois,1987,3755,132
Madison,Illinois,1986,3848,133
Madison,Illinois,1985,5154,106
Madison,Illinois,1984,2681,119
Madison,Illinois,1983,2773,117
Madison,Illinois,1982,2887,119
Madison,Illinois,1981,2606,93
