county,state,year,number_of_inmates_booked,average_daily_population
Saline,Illinois,2016,2174,89.2
Saline,Illinois,2015,2098,86.7
Saline,Illinois,2014,1951,76.9
Saline,Illinois,2013,2193,87.7
Saline,Illinois,2012,2543,94.3
Saline,Illinois,2011,2487,92.3
Saline,Illinois,2010,2290,83.3
Saline,Illinois,2009,2848,86.5
Saline,Illinois,2008,2850,81.5
Saline,Illinois,2007,2835,81.2
Saline,Illinois,2006,2909,97.6
Saline,Illinois,2005,3143,111.6
Saline,Illinois,2004,3261,103.8
Saline,Illinois,2003,3287,96.1
Saline,Illinois,2002,2815,76.4
Saline,Illinois,2001,2543,78.2
Saline,Illinois,2000,2906,92.6
Saline,Illinois,1999,2757,86.9
Saline,Illinois,1998,2721,69
Saline,Illinois,1997,2599,65
Saline,Illinois,1996,2420,76
Saline,Illinois,1995,2154,50
Saline,Illinois,1994,2171.8,39.8
Saline,Illinois,1993,2189.5,29.5
Saline,Illinois,1992,2207.2,19.3
Saline,Illinois,1991,2225,9
Saline,Illinois,1990,1922,8
Saline,Illinois,1989,1182,16
Saline,Illinois,1988,1031,25
Saline,Illinois,1987,1246,30
Saline,Illinois,1986,1271,28
Saline,Illinois,1985,1141,32
Saline,Illinois,1984,1230,25
Saline,Illinois,1983,951,18
Saline,Illinois,1982,924,18
Saline,Illinois,1981,817,12
