county,state,year,number_of_inmates_booked,average_daily_population
Livingston,Illinois,2016,1749,69.7
Livingston,Illinois,2015,1513,102.9
Livingston,Illinois,2014,1749,93.7
Livingston,Illinois,2013,2112,114
Livingston,Illinois,2012,1621,75
Livingston,Illinois,2011,1482,64.1
Livingston,Illinois,2010,1598,81.8
Livingston,Illinois,2009,1810,74.8
Livingston,Illinois,2008,1959,75.6
Livingston,Illinois,2007,1730,66.7
Livingston,Illinois,2006,1670,54
Livingston,Illinois,2005,1750,53
Livingston,Illinois,2004,1682,50.2
Livingston,Illinois,2003,1439,56.3
Livingston,Illinois,2002,1194,47.6
Livingston,Illinois,2001,1236,61.8
Livingston,Illinois,2000,1170,54.4
Livingston,Illinois,1999,1246,52.4
Livingston,Illinois,1998,985,50
Livingston,Illinois,1997,831,42
Livingston,Illinois,1996,634,31
Livingston,Illinois,1995,803,39
Livingston,Illinois,1994,764.8,41.5
Livingston,Illinois,1993,726.5,44
Livingston,Illinois,1992,688.3,46.5
Livingston,Illinois,1991,650,49
Livingston,Illinois,1990,616,46.7
Livingston,Illinois,1989,581,44
Livingston,Illinois,1988,475,38
Livingston,Illinois,1987,600,26
Livingston,Illinois,1986,586,25
Livingston,Illinois,1985,551,21
Livingston,Illinois,1984,492,24
Livingston,Illinois,1983,572,22
Livingston,Illinois,1982,700,20
Livingston,Illinois,1981,700,23
