county,state,year,number_of_inmates_booked,average_daily_population
St. Clair,Illinois,2016,6659,86.8
St. Clair,Illinois,2015,6975,86.7
St. Clair,Illinois,2014,7627,98.8
St. Clair,Illinois,2013,9169,113.1
St. Clair,Illinois,2012,9472,110.6
St. Clair,Illinois,2011,8308,100.5
St. Clair,Illinois,2010,8874,113.6
St. Clair,Illinois,2009,10827,124.2
St. Clair,Illinois,2008,10915,118
St. Clair,Illinois,2007,11063,128.2
St. Clair,Illinois,2006,10857,148.7
St. Clair,Illinois,2005,10835,291.4
St. Clair,Illinois,2004,11504,172.5
St. Clair,Illinois,2003,10632,173.8
St. Clair,Illinois,2002,10257,123.6
St. Clair,Illinois,2001,9439,112.4
St. Clair,Illinois,2000,5616,68.5
St. Clair,Illinois,1999,9585,211.8
St. Clair,Illinois,1998,9272,188
St. Clair,Illinois,1997,8534,177
St. Clair,Illinois,1996,7912,219
St. Clair,Illinois,1995,8257,397
St. Clair,Illinois,1994,8257,397
St. Clair,Illinois,1993,8257,397
St. Clair,Illinois,1992,8257,397
St. Clair,Illinois,1991,8257,397
St. Clair,Illinois,1990,6942,364.3
St. Clair,Illinois,1989,6601,279
St. Clair,Illinois,1988,5810,236
St. Clair,Illinois,1987,5469,245
St. Clair,Illinois,1986,5196,251
St. Clair,Illinois,1985,5283,237
St. Clair,Illinois,1984,6111,243
St. Clair,Illinois,1983,6084,259
St. Clair,Illinois,1982,5831,234
St. Clair,Illinois,1981,5673,228
