county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
San Luis Obispo,California,2018-12-01,266,35,190,32,523,214,107,321,87,115,202,538,324,108,216,36,1715,33,32,26,90,8,,,,0,5,0,811,,168,0,,,,,,,
San Luis Obispo,California,2018-11-01,251,34,216,37,538,200,116,316,85,137,222,569,262,198,210,38,1522,45,38,19,89,8,,,,0,6,1,801,,157,0,,,,,,,
San Luis Obispo,California,2018-10-01,269,38,213,32,552,216,118,334,91,127,218,580,283,255,196,39,2000,29,49,19,94,9,,,,0,9,1,933,,152,0,,,,,,,
San Luis Obispo,California,2018-09-01,252,34,219,38,543,198,130,328,88,127,215,563,230,133,183,38,2095,23,45,19,107,9,,,,0,8,0,938,,179,0,,,,,,,
San Luis Obispo,California,2018-08-01,245,31,226,44,546,190,140,330,86,130,216,569,256,149,192,38,2231,35,41,15,97,8,,,,0,12,0,931,,181,0,,,,,,,
San Luis Obispo,California,2018-07-01,253,35,231,45,564,194,147,341,94,129,223,595,259,147,180,37,2152,38,52,15,96,11,,,,0,11,0,1002,,178,0,,,,,,,
San Luis Obispo,California,2018-06-01,238,31,224,45,538,181,144,325,88,125,213,564,428,112,188,38,2148,43,63,22,107,9,,,,,10,1,964,,147,0,,,,,,,
San Luis Obispo,California,2018-05-01,225,34,224,39,522,170,144,314,89,119,208,545,406,149,176,38,1979,30,63,17,94,8,,,,,14,1,962,,174,0,,,,,,,
San Luis Obispo,California,2018-04-01,226,31,224,45,526,181,147,328,76,122,198,546,322,93,187,37,1981,27,48,16,102,10,,,,,11,1,966,,186,0,,,,,,,
San Luis Obispo,California,2018-03-01,208,24,211,49,492,168,131,299,64,129,193,519,338,89,249,37,1674,13,39,21,86,9,,,,,11,0,939,,172,0,,,,,,,
San Luis Obispo,California,2018-02-01,221,32,214,50,517,179,139,318,74,125,199,544,368,72,296,32,1459,12,49,16,88,8,,,,,9,0,786,,150,0,,,,,,,
San Luis Obispo,California,2018-01-01,226,43,209,41,519,192,129,321,77,121,198,536,379,113,235,38,1619,23,40,24,94,9,,,,,7,0,925,,165,0,,,,,,,
San Luis Obispo,California,2017-12-01,219,43,208,39,509,191,135,326,71,112,183,524,363,131,232,36,623,761,19,61,89,9,,,,,9,1,895,,143,0,,,,,,,
San Luis Obispo,California,2017-11-01,220,41,227,39,527,183,149,332,77,118,195,544,301,114,179,34,509,703,25,78,85,9,,,,,11,1,857,,165,0,,,,,,,
San Luis Obispo,California,2017-10-01,239,53,241,41,574,220,143,363,73,138,211,603,383,107,245,32,416,869,34,81,102,9,,,,,11,1,931,,148,0,,,,,,,
