county,state,year,number_of_inmates_booked,average_daily_population
Shelby,Illinois,2016,716,19.7
Shelby,Illinois,2015,946,19.5
Shelby,Illinois,2014,808,18.2
Shelby,Illinois,2013,810,15.6
Shelby,Illinois,2012,1015,26.8
Shelby,Illinois,2011,982,16.8
Shelby,Illinois,2010,900,11.7
Shelby,Illinois,2009,1159,17.2
Shelby,Illinois,2008,1185,17.9
Shelby,Illinois,2007,1191,14.6
Shelby,Illinois,2006,1122,16.4
Shelby,Illinois,2005,1106,19.6
Shelby,Illinois,2004,913,19.9
Shelby,Illinois,2003,716,16.8
Shelby,Illinois,2002,341,17.9
Shelby,Illinois,2001,352,14.2
Shelby,Illinois,2000,320,14.7
Shelby,Illinois,1999,339,12.8
Shelby,Illinois,1998,361,11
Shelby,Illinois,1997,379,12
Shelby,Illinois,1996,330,12
Shelby,Illinois,1995,223,9
Shelby,Illinois,1994,208.8,8.8
Shelby,Illinois,1993,194.5,8.5
Shelby,Illinois,1992,180.3,8.3
Shelby,Illinois,1991,166,8
Shelby,Illinois,1990,273,9.6
Shelby,Illinois,1989,297,10
Shelby,Illinois,1988,280,8
Shelby,Illinois,1987,185,5
Shelby,Illinois,1986,141,5
Shelby,Illinois,1985,137,5
Shelby,Illinois,1984,126,6
Shelby,Illinois,1983,201,4
Shelby,Illinois,1982,139,4
Shelby,Illinois,1981,205,6
