county,state,year,number_of_inmates_booked,average_daily_population
Woodford,Illinois,2016,850,45
Woodford,Illinois,2015,1103,53.9
Woodford,Illinois,2014,929,45.5
Woodford,Illinois,2013,818,40.3
Woodford,Illinois,2012,779,37.5
Woodford,Illinois,2011,839,35.8
Woodford,Illinois,2010,788,38.7
Woodford,Illinois,2009,870,42.4
Woodford,Illinois,2008,975,47.8
Woodford,Illinois,2007,1046,38.4
Woodford,Illinois,2006,1130,43.4
Woodford,Illinois,2005,1058,41
Woodford,Illinois,2004,1180,45.6
Woodford,Illinois,2003,1038,39.1
Woodford,Illinois,2002,916,31.8
Woodford,Illinois,2001,894,26.7
Woodford,Illinois,2000,1065,31.8
Woodford,Illinois,1999,1010,24.7
Woodford,Illinois,1998,853,22
Woodford,Illinois,1997,960,26
Woodford,Illinois,1996,917,18
Woodford,Illinois,1995,716,7
Woodford,Illinois,1994,707.8,7
Woodford,Illinois,1993,699.5,7
Woodford,Illinois,1992,691.3,7
Woodford,Illinois,1991,683,7
Woodford,Illinois,1990,571,6.9
Woodford,Illinois,1989,595,6
Woodford,Illinois,1988,636,14
Woodford,Illinois,1987,429,11
Woodford,Illinois,1986,424,10
Woodford,Illinois,1985,327,8
Woodford,Illinois,1984,,
Woodford,Illinois,1983,,
Woodford,Illinois,1982,,
Woodford,Illinois,1981,,
