county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Del Norte,California,2018-12-01,45,10,33,7,95,39,22,61,16,18,34,105,0,0,28,0,92,84,5,0,0,5,0,0,0,0,0,0,199,0,0,0,,,,,,,
Del Norte,California,2018-11-01,44,11,32,9,96,42,23,65,13,18,31,104,0,0,31,0,80,70,1,1,0,7,0,0,0,0,1,0,242,0,0,0,,,,,,,
Del Norte,California,2018-10-01,42,13,35,11,101,44,24,68,11,22,33,106,0,0,27,0,74,68,6,3,0,6,0,0,0,0,3,0,224,0,0,0,,,,,,,
Del Norte,California,2018-09-01,46,12,32,7,97,43,17,60,15,22,37,105,0,0,27,0,90,78,2,3,0,6,0,0,0,0,3,0,244,0,0,0,,,,,,,
Del Norte,California,2018-08-01,45,9,26,8,88,40,17,57,14,17,31,96,0,0,24,0,90,70,6,3,0,7,0,0,0,0,7,0,272,0,0,0,,,,,,,
Del Norte,California,2018-07-01,41,7,26,13,87,39,18,57,9,21,30,94,0,0,22,0,110,80,3,4,0,6,0,0,0,0,4,0,255,0,0,0,,,,,,,
Del Norte,California,2018-06-01,45,7,26,10,88,41,19,60,11,17,28,97,,,17,0,71,68,0,0,0,7,0,0,0,0,6,0,251,0,0,0,,,,,,,
Del Norte,California,2018-05-01,45,7,31,10,93,39,20,59,13,21,34,100,,,19,0,82,72,3,4,0,5,0,0,0,0,10,0,246,0,0,0,,,,,,,
Del Norte,California,2018-04-01,46,9,33,6,94,42,19,61,14,19,33,99,,,14,0,60,59,1,0,0,5,0,0,0,0,3,0,210,0,0,0,,,,,,,
Del Norte,California,2018-03-01,54,12,30,4,100,48,14,62,18,20,38,107,,,16,0,71,65,0,4,0,6,0,0,0,0,2,0,277,0,0,0,,,,,,,
