county,state,year,number_of_inmates_booked,average_daily_population
Wayne,Illinois,2016,667,20.3
Wayne,Illinois,2015,511,19.3
Wayne,Illinois,2014,561,24.2
Wayne,Illinois,2013,549,13.8
Wayne,Illinois,2012,658,19.3
Wayne,Illinois,2011,636,19.9
Wayne,Illinois,2010,597,18.1
Wayne,Illinois,2009,669,18.7
Wayne,Illinois,2008,676,25.3
Wayne,Illinois,2007,564,18.2
Wayne,Illinois,2006,287,20.8
Wayne,Illinois,2005,296,14.4
Wayne,Illinois,2004,496,32.8
Wayne,Illinois,2003,469,24.1
Wayne,Illinois,2002,450,28.7
Wayne,Illinois,2001,456,28.1
Wayne,Illinois,2000,508,30
Wayne,Illinois,1999,476,25
Wayne,Illinois,1998,572,21
Wayne,Illinois,1997,403,19
Wayne,Illinois,1996,364,14
Wayne,Illinois,1995,350,13
Wayne,Illinois,1994,316.3,12.3
Wayne,Illinois,1993,282.5,11.5
Wayne,Illinois,1992,248.8,10.8
Wayne,Illinois,1991,215,10
Wayne,Illinois,1990,191,7
Wayne,Illinois,1989,215,9
Wayne,Illinois,1988,206,9
Wayne,Illinois,1987,187,8
Wayne,Illinois,1986,185,10
Wayne,Illinois,1985,320,14
Wayne,Illinois,1984,291,10
Wayne,Illinois,1983,243,9
Wayne,Illinois,1982,196,10
Wayne,Illinois,1981,201,6
