county,state,year,number_of_inmates_booked,average_daily_population
Knox,Illinois,2016,2716,123.9
Knox,Illinois,2015,2554,79.1
Knox,Illinois,2014,2726,89.4
Knox,Illinois,2013,3373,121.9
Knox,Illinois,2012,3777,131.3
Knox,Illinois,2011,4000,108.8
Knox,Illinois,2010,3770,98.7
Knox,Illinois,2009,4301,116
Knox,Illinois,2008,4279,126.8
Knox,Illinois,2007,4388,128
Knox,Illinois,2006,4104,130.7
Knox,Illinois,2005,4437,124.8
Knox,Illinois,2004,4365,122.6
Knox,Illinois,2003,4297,78.5
Knox,Illinois,2002,4074,65.3
Knox,Illinois,2001,4130,61.6
Knox,Illinois,2000,4017,59.9
Knox,Illinois,1999,3503,51.8
Knox,Illinois,1998,3767,54
Knox,Illinois,1997,3601,70
Knox,Illinois,1996,3506,56
Knox,Illinois,1995,13131,62
Knox,Illinois,1994,10498.8,58.5
Knox,Illinois,1993,7866.5,55
Knox,Illinois,1992,5234.3,51.5
Knox,Illinois,1991,2602,48
Knox,Illinois,1990,2217,38.7
Knox,Illinois,1989,2339,35
Knox,Illinois,1988,2107,38
Knox,Illinois,1987,2142,23
Knox,Illinois,1986,1763,32
Knox,Illinois,1985,1905,35
Knox,Illinois,1984,1942,32
Knox,Illinois,1983,1842,29
Knox,Illinois,1982,1870,37
Knox,Illinois,1981,2000,39
