county,state,year,number_of_inmates_booked,average_daily_population
Mason,Illinois,2016,933,37.3
Mason,Illinois,2015,909,36.3
Mason,Illinois,2014,804,37.9
Mason,Illinois,2013,625,41.4
Mason,Illinois,2012,1033,46
Mason,Illinois,2011,973,47.2
Mason,Illinois,2010,1083,43.5
Mason,Illinois,2009,1151,46.5
Mason,Illinois,2008,1295,47.6
Mason,Illinois,2007,1226,49.2
Mason,Illinois,2006,1036,44.6
Mason,Illinois,2005,778,42.8
Mason,Illinois,2004,936,41
Mason,Illinois,2003,1017,32.6
Mason,Illinois,2002,633,37.4
Mason,Illinois,2001,556,24
Mason,Illinois,2000,685,35.2
Mason,Illinois,1999,674,32.7
Mason,Illinois,1998,723,28
Mason,Illinois,1997,779,24
Mason,Illinois,1996,781,23
Mason,Illinois,1995,745,26
Mason,Illinois,1994,709.3,25
Mason,Illinois,1993,673.5,24
Mason,Illinois,1992,637.8,23
Mason,Illinois,1991,602,22
Mason,Illinois,1990,325,10.4
Mason,Illinois,1989,86,5
Mason,Illinois,1988,78,6
Mason,Illinois,1987,128,7
Mason,Illinois,1986,196,6
Mason,Illinois,1985,158,5
Mason,Illinois,1984,146,5
Mason,Illinois,1983,250,5
Mason,Illinois,1982,185,4
Mason,Illinois,1981,218,4
