county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Zavala,Texas,2017-12-01,16,5,0,3,0,4,0,0,9,0,0,0,1,26,16,42,66,63.64,17,,,,
Zavala,Texas,2017-11-01,22,1,1,1,0,6,0,0,24,0,0,0,2,33,26,59,66,89.39,0,0,0,0,0
Zavala,Texas,2017-10-01,21,6,0,0,1,2,0,0,23,0,0,0,1,31,24,55,66,83.33,0,0,0,0,0
Zavala,Texas,2017-09-01,21,5,1,0,0,6,0,2,26,0,0,0,1,35,26,61,66,92.42,0,0,0,0,0
Zavala,Texas,2017-08-01,22,4,0,0,0,5,0,0,12,0,0,6,2,38,12,50,66,75.76,0,0,0,0,0
Zavala,Texas,2017-07-01,29,2,0,3,0,4,0,3,20,0,1,0,1,40,20,60,66,90.91,0,0,0,0,0
Zavala,Texas,2017-06-01,31,5,0,3,0,7,0,0,14,0,0,0,1,47,14,61,66,92.42,0,0,0,0,0
Zavala,Texas,2017-05-01,32,3,0,3,0,5,0,1,15,0,0,0,1,42,15,57,66,86.36,0,0,0,0,0
Zavala,Texas,2017-04-01,30,1,0,2,0,7,0,0,23,0,0,0,1,40,23,63,66,95.45,0,0,0,0,0
Zavala,Texas,2017-03-01,25,3,0,4,1,5,0,0,14,0,0,0,0,37,14,51,66,77.27,0,0,0,0,0
Zavala,Texas,2017-02-01,19,0,0,1,0,4,0,0,25,0,0,0,1,24,25,49,66,74.24,10,0,0,0,0
Zavala,Texas,2017-01-01,15,0,0,2,0,6,0,0,36,0,0,0,0,22,37,59,66,89.39,0,0,0,0,0
Zavala,Texas,2016-12-01,15,0,0,2,0,3,0,0,37,0,0,0,0,20,38,58,66,87.88,0,0,0,0,0
Zavala,Texas,2016-11-01,16,0,0,0,0,4,0,1,22,0,0,0,0,21,22,43,66,65.15,16,0,0,0,0
Zavala,Texas,2016-10-01,10,0,0,1,0,3,0,0,33,0,0,0,1,15,33,48,66,72.73,11,0,0,0,0
Zavala,Texas,2016-09-01,13,0,0,1,0,3,0,0,29,0,0,0,0,16,29,45,66,68.18,14,0,0,0,0
Zavala,Texas,2016-08-01,11,0,0,0,0,1,0,0,47,0,0,0,2,13,47,60,66,90.91,0,0,0,0,0
