county,state,year,number_of_inmates_booked,average_daily_population
Carroll,Illinois,2016,459,12.1
Carroll,Illinois,2015,494,16.3
Carroll,Illinois,2014,464,18.3
Carroll,Illinois,2013,488,16.4
Carroll,Illinois,2012,469,15.5
Carroll,Illinois,2011,485,16.1
Carroll,Illinois,2010,459,19.5
Carroll,Illinois,2009,434,18.7
Carroll,Illinois,2008,401,16.1
Carroll,Illinois,2007,368,18.6
Carroll,Illinois,2006,505,19.6
Carroll,Illinois,2005,508,17.9
Carroll,Illinois,2004,238,14.6
Carroll,Illinois,2003,257,19.8
Carroll,Illinois,2002,255,19.1
Carroll,Illinois,2001,198,18.4
Carroll,Illinois,2000,212,19.8
Carroll,Illinois,1999,186,17.5
Carroll,Illinois,1998,182,17
Carroll,Illinois,1997,194,13
Carroll,Illinois,1996,453,16
Carroll,Illinois,1995,173,36
Carroll,Illinois,1994,166.5,30.3
Carroll,Illinois,1993,160,24.5
Carroll,Illinois,1992,153.5,18.8
Carroll,Illinois,1991,147,13
Carroll,Illinois,1990,179,13.1
Carroll,Illinois,1989,211,11
Carroll,Illinois,1988,143,13
Carroll,Illinois,1987,135,16
Carroll,Illinois,1986,143,11
Carroll,Illinois,1985,176,14
Carroll,Illinois,1984,132,11
Carroll,Illinois,1983,128,13
Carroll,Illinois,1982,156,16
Carroll,Illinois,1981,136,8
