county,state,year,number_of_inmates_booked,average_daily_population
Williamson,Illinois,2016,2579,122.7
Williamson,Illinois,2015,2445,135.8
Williamson,Illinois,2014,2354,120.7
Williamson,Illinois,2013,2228,116.9
Williamson,Illinois,2012,2403,129.4
Williamson,Illinois,2011,2313,110.1
Williamson,Illinois,2010,2422,95.7
Williamson,Illinois,2009,2308,97.1
Williamson,Illinois,2008,2293,95
Williamson,Illinois,2007,2416,94.6
Williamson,Illinois,2006,2788,89.7
Williamson,Illinois,2005,2519,96
Williamson,Illinois,2004,2124,93.8
Williamson,Illinois,2003,2012,92.5
Williamson,Illinois,2002,1809,91.3
Williamson,Illinois,2001,1372,67
Williamson,Illinois,2000,1638,66.3
Williamson,Illinois,1999,1441,72.4
Williamson,Illinois,1998,4066,152
Williamson,Illinois,1997,1257,81
Williamson,Illinois,1996,1419,74
Williamson,Illinois,1995,1423,71
Williamson,Illinois,1994,1459.5,66.8
Williamson,Illinois,1993,1496,62.5
Williamson,Illinois,1992,1532.5,58.3
Williamson,Illinois,1991,1569,54
Williamson,Illinois,1990,1488,58.5
Williamson,Illinois,1989,1562,64
Williamson,Illinois,1988,1316,58
Williamson,Illinois,1987,1374,61
Williamson,Illinois,1986,1136,51
Williamson,Illinois,1985,954,35
Williamson,Illinois,1984,1131,36
Williamson,Illinois,1983,979,26
Williamson,Illinois,1982,928,32
Williamson,Illinois,1981,946,28
