county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Yuba,California,2018-12-01,261,28,44,6,339,271,43,314,18,7,25,357,206,111,115,0,451,191,14,38,0,0,0,174,0,0,8,0,391,0,0,0,,,,,,,
Yuba,California,2018-11-01,256,36,45,3,340,279,41,320,13,7,20,345,181,87,102,0,353,155,12,0,0,0,0,184,0,0,15,0,348,0,0,0,,,,,,,
Yuba,California,2018-10-01,259,31,49,8,347,273,47,320,17,10,27,371,176,106,92,0,434,200,15,46,0,0,0,178,0,0,12,0,501,0,0,0,,,,,,,
Yuba,California,2018-09-01,246,32,59,5,342,268,48,316,10,16,26,370,174,92,93,0,408,189,7,39,0,0,0,169,0,0,11,0,453,0,0,0,,,,,,,
Yuba,California,2018-08-01,266,36,58,7,367,283,56,339,19,9,28,367,173,70,92,0,245,161,12,41,0,0,0,180,0,0,10,0,529,0,0,0,,,,,,,
Yuba,California,2018-07-01,268,29,46,11,354,282,48,330,15,9,24,375,183,93,90,0,175,143,4,18,0,0,0,183,0,0,17,0,528,0,0,0,,,,,,,
Yuba,California,2018-06-01,268,31,47,9,355,283,46,329,16,10,26,378,152,77,96,0,245,189,11,41,0,0,0,178,0,0,19,0,492,0,0,0,,,,,,,
Yuba,California,2018-05-01,265,27,43,10,345,278,44,322,14,9,23,362,129,67,102,0,391,315,12,46,0,0,0,178,0,0,14,0,485,0,0,0,,,,,,,
Yuba,California,2018-04-01,256,30,48,7,341,273,47,320,13,8,21,374,141,78,98,0,561,436,10,44,0,0,0,170,0,0,18,0,426,0,0,0,,,,,,,
Yuba,California,2018-03-01,175,33,92,25,325,260,45,305,10,10,20,371,134,85,119,0,416,360,9,51,0,0,0,171,0,0,11,0,414,0,0,0,,,,,,,
Yuba,California,2018-02-01,172,26,86,27,311,245,44,289,11,11,22,389,126,54,120,0,337,292,10,46,1,0,0,177,0,0,12,0,375,0,0,0,,,,,,,
Yuba,California,2018-01-01,282,34,53,12,381,303,51,354,13,14,27,399,123,66,114,0,422,397,13,44,0,0,0,188,0,0,11,0,402,0,0,0,,,,,,,
Yuba,California,2017-12-01,292,30,34,10,366,308,32,340,14,12,26,378,,70,110,0,382,265,14,64,2,0,0,185,0,0,10,0,451,0,0,0,,,,,,,
Yuba,California,2017-11-01,307,26,29,11,373,319,33,352,14,7,21,381,,68,104,0,399,275,6,73,1,0,0,190,0,0,11,0,404,0,0,0,,,,,,,
Yuba,California,2017-10-01,311,26,20,12,369,322,26,348,15,6,21,386,,76,109,0,356,316,13,56,0,0,0,176,0,0,10,0,432,0,0,0,,,,,,,
Yuba,California,2017-09-01,282,27,33,9,351,290,32,322,19,10,29,372,,,,0,636,,,,0,0,0,160,0,0,15,0,521,0,0,0,,,,,,,
Yuba,California,2017-08-01,274,32,39,8,353,287,40,327,19,7,26,380,,,,0,,,,,0,0,0,161,0,0,20,0,529,0,0,0,,,,,,,
Yuba,California,2017-07-01,297,37,41,9,384,315,42,357,19,8,27,397,200,10,,0,,,,,0,0,0,178,0,0,19,0,525,0,0,0,,,,,,,
Yuba,California,2017-06-01,299,33,37,12,381,314,41,355,18,8,26,396,187,31,88,0,106,323,23,35,0,0,0,169,0,0,20,0,495,0,0,0,,,,,,,
Yuba,California,2017-05-01,284,28,50,13,375,296,51,347,16,12,28,396,157,16,82,0,100,393,19,37,0,0,0,162,0,0,24,0,581,0,0,0,,,,,,,
Yuba,California,2017-04-01,278,28,56,13,375,289,59,348,17,10,27,401,,,84,0,148,263,19,37,0,0,0,162,0,0,33,0,446,0,0,0,,,,,,,
Yuba,California,2017-03-01,261,29,44,5,339,274,43,317,16,6,22,358,,32,70,0,77,238,21,38,0,0,0,155,0,0,19,0,607,0,0,0,,,,,,,
Yuba,California,2017-02-01,205,24,32,4,265,216,29,245,13,7,20,384,47,22,47,0,185,190,13,33,0,0,0,93,0,0,4,0,290,0,0,0,,,,,,,
Yuba,California,2017-01-01,295,29,35,7,366,310,36,346,14,6,20,387,47,13,62,0,167,350,15,36,0,0,0,191,0,0,18,0,486,0,0,0,,,,,,,
Yuba,California,2016-12-01,290,26,40,7,363,300,46,346,16,1,17,368,38,12,69,0,197,240,16,38,0,0,0,180,0,0,17,0,497,0,0,0,,,,,,,
Yuba,California,2016-11-01,274,27,56,6,363,284,47,331,17,15,32,376,85,39,42,0,217,223,15,51,0,0,0,180,0,0,11,0,447,0,0,0,,,,,,,
Yuba,California,2016-10-01,292,30,46,11,379,302,44,346,20,13,33,395,85,48,42,0,329,221,13,37,0,0,0,170,0,0,19,0,523,0,0,0,,,,,,,
Yuba,California,2016-09-01,310,24,38,12,384,311,40,351,23,10,33,406,140,61,45,0,346,275,17,40,0,0,0,186,0,0,10,0,488,0,0,0,,,,,,,
Yuba,California,2016-08-01,300,28,42,11,381,306,39,345,22,14,36,398,150,75,44,0,285,253,13,30,0,0,0,183,0,0,10,0,552,0,0,0,,,,,,,
Yuba,California,2016-07-01,294,31,50,12,387,296,38,334,29,24,53,403,85,68,37,0,315,249,12,45,0,0,0,185,0,0,9,0,547,0,0,0,,,,,,,
Yuba,California,2016-06-01,287,34,50,12,383,299,41,340,22,21,43,395,150,37,34,0,330,267,28,53,0,0,0,185,0,0,17,0,514,0,0,0,,,,,,,
Yuba,California,2016-05-01,285,27,52,19,383,289,51,340,23,20,43,398,112,39,50,0,360,309,12,37,0,0,0,185,0,0,9,0,523,0,0,0,,,,,,,
Yuba,California,2016-04-01,289,31,55,18,393,297,56,353,23,17,40,407,120,32,50,0,364,320,14,31,0,0,0,179,0,0,15,0,496,0,0,0,,,,,,,
Yuba,California,2016-03-01,286,27,64,18,395,292,65,357,21,17,38,414,150,44,56,0,427,378,25,49,0,0,0,177,0,0,11,0,533,0,0,0,,,,,,,
Yuba,California,2016-02-01,312,22,45,20,399,317,53,370,17,12,29,416,170,51,68,0,302,307,21,45,0,0,0,194,0,0,18,0,436,0,0,0,,,,,,,
Yuba,California,2016-01-01,299,24,50,18,391,307,56,363,16,12,28,412,120,63,68,0,374,374,14,37,0,0,0,188,0,0,17,0,428,0,0,0,,,,,,,
Yuba,California,2015-12-01,299,28,52,12,391,312,53,365,15,11,26,408,150,50,78,0,384,328,21,41,0,0,0,188,0,0,20,0,438,0,0,0,,,,,,,
Yuba,California,2015-11-01,298,31,61,16,406,313,62,375,16,15,31,428,158,47,121,0,354,321,22,33,0,0,0,200,0,0,16,0,427,0,0,0,,,,,,,
Yuba,California,2015-10-01,300,34,59,17,410,312,61,373,22,15,37,420,140,47,115,0,435,300,24,38,0,0,0,201,0,0,16,1,495,0,0,0,,,,,,,
Yuba,California,2015-09-01,299,29,58,20,406,308,59,367,20,19,39,418,165,32,103,0,399,281,15,49,0,0,0,199,0,0,17,0,502,0,0,0,,,,,,,
Yuba,California,2015-08-01,307,30,48,19,404,316,55,371,21,12,33,416,160,40,93,0,413,252,17,59,0,0,0,192,0,0,11,0,521,0,0,0,,,,,,,
Yuba,California,2015-07-01,300,36,55,13,404,317,58,375,19,10,29,405,,,86,0,368,316,23,54,0,0,0,180,0,0,23,0,516,0,0,0,,,,,,,
Yuba,California,2015-06-01,287,41,56,11,395,309,54,363,19,13,32,415,150,41,79,0,319,222,29,27,0,0,0,178,0,0,8,0,515,0,0,0,,,,,,,
Yuba,California,2015-05-01,282,41,61,10,394,306,55,361,17,16,33,410,,,65,0,338,206,15,38,0,0,0,182,0,0,10,0,515,0,0,0,,,,,,,
Yuba,California,2015-04-01,266,40,62,11,379,288,58,346,18,15,33,395,,,32,0,301,217,10,28,0,0,0,175,0,0,9,0,543,0,0,0,,,,,,,
Yuba,California,2015-03-01,292,40,52,11,395,310,50,360,22,13,35,407,162,48,57,0,307,223,17,39,0,0,0,192,0,0,14,0,560,0,0,0,,,,,,,
Yuba,California,2015-02-01,306,33,42,11,392,318,45,363,21,8,29,404,155,40,44,0,298,215,9,38,0,0,0,195,0,0,9,0,462,0,0,0,,,,,,,
Yuba,California,2015-01-01,276,30,47,10,363,289,48,337,17,9,26,394,115,24,37,0,343,156,13,47,0,0,0,195,0,0,8,0,481,0,0,0,,,,,,,
Yuba,California,2014-12-01,274,32,49,11,366,283,51,334,23,9,32,392,110,36,37,0,342,252,14,37,0,0,0,195,0,0,8,0,490,0,0,0,,,,,,,
Yuba,California,2014-11-01,270,33,72,12,387,274,69,343,29,15,44,414,120,25,47,0,308,206,14,37,0,0,0,192,0,0,7,0,506,0,0,0,,,,,,,
Yuba,California,2014-10-01,288,38,64,13,403,296,66,362,30,11,41,428,130,30,33,0,401,217,18,51,0,0,0,193,0,0,15,0,582,0,0,0,,,,,,,
Yuba,California,2014-09-01,318,37,41,17,413,305,46,351,50,12,62,426,120,26,34,0,358,220,14,19,0,0,0,194,0,0,20,0,591,0,0,0,,,,,,,
Yuba,California,2014-08-01,301,37,54,16,408,317,55,372,21,15,36,428,200,49,34,0,349,184,15,36,0,0,0,189,0,0,11,0,670,0,0,0,,,,,,,
Yuba,California,2014-07-01,298,38,61,17,414,308,60,368,28,18,46,428,150,35,59,0,316,206,14,33,0,0,0,191,0,0,17,0,580,0,7,0,,,,,,,
Yuba,California,2014-06-01,302,37,51,15,405,313,53,366,26,13,39,428,120,26,39,0,296,180,14,16,0,0,0,189,0,0,5,0,591,0,11,0,,,,,,,
