county,state,year,number_of_inmates_booked,average_daily_population
Clark,Illinois,2016,524,17.4
Clark,Illinois,2015,415,15
Clark,Illinois,2014,379,22.7
Clark,Illinois,2013,399,21.5
Clark,Illinois,2012,369,22.6
Clark,Illinois,2011,398,19.5
Clark,Illinois,2010,332,18.4
Clark,Illinois,2009,340,19.4
Clark,Illinois,2008,304,17.1
Clark,Illinois,2007,309,22.3
Clark,Illinois,2006,329,18.6
Clark,Illinois,2005,344,23.1
Clark,Illinois,2004,389,25.9
Clark,Illinois,2003,347,21.5
Clark,Illinois,2002,356,21.9
Clark,Illinois,2001,288,16.5
Clark,Illinois,2000,275,18.7
Clark,Illinois,1999,275,21.3
Clark,Illinois,1998,257,12
Clark,Illinois,1997,246,12
Clark,Illinois,1996,183,9
Clark,Illinois,1995,134,8
Clark,Illinois,1994,163.5,8.5
Clark,Illinois,1993,193,9
Clark,Illinois,1992,222.5,9.5
Clark,Illinois,1991,252,10
Clark,Illinois,1990,245,10.2
Clark,Illinois,1989,261,8
Clark,Illinois,1988,319,7
Clark,Illinois,1987,196,9
Clark,Illinois,1986,203,9
Clark,Illinois,1985,205,10
Clark,Illinois,1984,242,8
Clark,Illinois,1983,273,7
Clark,Illinois,1982,240,4
Clark,Illinois,1981,249,6
