county,state,year,number_of_inmates_booked,average_daily_population
Piatt,Illinois,2016,640,20.3
Piatt,Illinois,2015,939,33.2
Piatt,Illinois,2014,782,26.4
Piatt,Illinois,2013,1323,49
Piatt,Illinois,2012,1002,38.1
Piatt,Illinois,2011,576,18.3
Piatt,Illinois,2010,580,20
Piatt,Illinois,2009,760,16.2
Piatt,Illinois,2008,716,25.1
Piatt,Illinois,2007,597,21.3
Piatt,Illinois,2006,573,21.3
Piatt,Illinois,2005,526,15.5
Piatt,Illinois,2004,495,10.5
Piatt,Illinois,2003,573,12.3
Piatt,Illinois,2002,467,11
Piatt,Illinois,2001,405,10.7
Piatt,Illinois,2000,435,10.2
Piatt,Illinois,1999,520,11
Piatt,Illinois,1998,430,10
Piatt,Illinois,1997,461,12
Piatt,Illinois,1996,493,9
Piatt,Illinois,1995,392,7
Piatt,Illinois,1994,380.8,7.8
Piatt,Illinois,1993,369.5,8.5
Piatt,Illinois,1992,358.3,9.3
Piatt,Illinois,1991,347,10
Piatt,Illinois,1990,328,8.5
Piatt,Illinois,1989,322,7
Piatt,Illinois,1988,416,7
Piatt,Illinois,1987,326,8
Piatt,Illinois,1986,283,8
Piatt,Illinois,1985,248,6
Piatt,Illinois,1984,224,6
Piatt,Illinois,1983,216,9
Piatt,Illinois,1982,250,7
Piatt,Illinois,1981,326,6
