county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Llano,Texas,2017-12-01,21,2,2,3,4,1,0,1,0,6,1,1,0,41,1,42,54,77.78,0,,,,
Llano,Texas,2017-11-01,18,2,0,3,2,3,1,1,0,3,0,1,1,33,1,34,54,62.96,15,0,3,82,1845
Llano,Texas,2017-10-01,22,3,0,1,2,4,2,2,0,6,0,0,1,41,1,42,54,77.78,0,1,2,60,1350
Llano,Texas,2017-09-01,23,6,1,2,0,2,0,3,0,5,0,2,1,39,0,39,54,72.22,0,1,5,86,1935
Llano,Texas,2017-08-01,36,7,0,1,1,6,0,2,0,1,0,1,0,50,0,50,54,92.59,0,2,5,120,2700
Llano,Texas,2017-07-01,26,4,4,2,0,5,2,1,0,4,0,0,0,44,0,44,54,81.48,0,1,5,113,2542.5
Llano,Texas,2017-06-01,27,5,0,2,2,8,0,1,0,5,0,0,1,46,0,46,54,85.19,0,0,5,87,1957.5
Llano,Texas,2017-05-01,19,5,1,1,2,5,2,3,0,7,0,1,1,43,0,43,54,79.63,0,0,2,36,810
Llano,Texas,2017-04-01,28,1,1,2,2,4,0,2,0,10,0,0,1,42,0,42,54,77.78,0,2,1,31,683.24
Llano,Texas,2017-03-01,28,7,1,2,3,3,0,3,0,2,0,0,0,40,0,40,54,74.07,0,0,1,28,6.16
Llano,Texas,2017-02-01,28,8,1,2,4,1,1,2,0,9,1,2,1,39,0,39,54,72.22,0,1,0,0,0
Llano,Texas,2017-01-01,30,5,1,2,4,1,0,3,0,3,0,0,1,45,0,45,54,83.33,0,0,1,31,683.24
Llano,Texas,2016-12-01,23,6,0,2,4,1,1,2,0,7,0,1,2,39,0,39,54,72.22,0,0,2,30,661.2
Llano,Texas,2016-11-01,26,2,0,3,2,5,0,3,0,4,1,0,2,38,0,38,54,70.37,11,1,2,38,837.52
Llano,Texas,2016-10-01,25,3,1,3,3,5,1,3,0,14,0,4,3,51,0,51,54,94.44,0,1,2,60,1322.4
Llano,Texas,2016-09-01,33,5,1,2,2,7,0,3,0,9,0,0,1,49,0,49,54,90.74,0,1,2,62,1366.48
Llano,Texas,2016-08-01,31,5,1,1,2,8,0,3,0,11,1,0,0,50,0,50,54,92.59,0,2,2,62,1366.48
Llano,Texas,2016-07-01,23,4,1,2,0,8,0,4,0,9,0,0,1,43,0,43,54,79.63,0,0,2,22,484.88
Llano,Texas,2016-06-01,33,2,0,1,0,8,0,3,0,11,0,0,0,44,0,44,54,81.48,0,1,0,0,0
Llano,Texas,2016-05-01,22,0,3,1,0,5,0,5,0,9,0,0,0,43,0,43,54,79.63,0,2,0,0,0
Llano,Texas,2016-04-01,20,1,0,0,1,3,0,3,0,7,0,0,0,35,0,35,54,64.81,14,0,0,0,0
Llano,Texas,2016-03-01,14,5,0,1,1,3,0,3,0,5,0,0,0,32,0,32,54,59.26,17,0,0,0,0
Llano,Texas,2016-02-01,24,1,1,0,0,3,1,3,0,4,0,0,0,37,0,37,54,68.52,12,2,0,0,0
Llano,Texas,2016-01-01,26,1,1,0,0,6,1,2,0,5,0,0,0,38,0,38,54,70.37,11,2,0,0,0
Llano,Texas,2015-12-01,29,5,2,1,0,6,0,2,0,6,0,0,1,45,0,45,54,83.33,0,1,0,0,0
Llano,Texas,2015-11-01,24,2,1,1,0,7,0,2,0,7,0,0,1,44,0,44,54,81.48,0,4,1,17,374.68
Llano,Texas,2015-10-01,26,4,0,1,1,2,0,3,0,2,0,0,0,39,0,39,54,72.22,0,2,0,0,0
Llano,Texas,2015-09-01,25,3,3,0,1,4,0,2,0,5,0,0,2,45,0,45,54,83.33,0,1,0,0,0
Llano,Texas,2015-08-01,20,0,1,1,0,3,0,2,0,3,0,0,0,30,0,30,54,55.56,19,0,0,0,0
Llano,Texas,2015-07-01,24,5,0,3,1,6,0,2,0,6,0,1,0,47,0,47,54,87.04,0,0,1,4,88.16
Llano,Texas,2015-06-01,21,3,1,1,1,4,0,3,0,6,0,2,1,41,0,41,54,75.93,0,1,1,2,44.08
Llano,Texas,2015-05-01,16,7,2,3,4,2,1,4,0,6,0,0,0,43,0,43,54,79.63,0,0,1,8,176.32
Llano,Texas,2015-04-01,29,2,2,3,6,6,0,2,0,5,0,2,0,50,0,50,54,92.59,0,0,1,31,683.24
Llano,Texas,2015-03-01,24,3,0,2,5,9,0,2,0,5,0,0,0,45,0,45,54,83.33,0,0,0,28,617.12
Llano,Texas,2015-02-01,22,3,0,1,4,5,0,1,0,9,0,0,0,44,0,44,54,81.48,0,3,0,0,0
Llano,Texas,2015-01-01,23,0,1,1,4,1,0,1,0,8,2,1,1,40,0,40,54,74.07,0,2,0,0,0
Llano,Texas,2014-12-01,24,6,1,2,3,6,1,3,0,7,0,0,0,51,0,51,54,94.44,0,1,0,0,0
Llano,Texas,2014-11-01,24,2,0,1,3,1,7,1,0,10,0,0,0,49,0,49,54,90.74,0,2,2,32,705.28
Llano,Texas,2014-10-01,20,0,0,2,5,6,1,1,0,8,0,1,1,45,0,45,54,83.33,0,0,3,37,815.48
Llano,Texas,2014-09-01,20,3,2,2,3,6,0,1,0,7,0,1,0,45,0,45,54,83.33,0,0,2,62,1366.48
Llano,Texas,2014-08-01,21,6,0,0,1,4,0,1,0,5,0,1,0,37,0,37,54,68.52,12,0,2,62,1366.48
Llano,Texas,2014-07-01,31,7,0,0,2,5,0,1,0,5,1,0,1,47,0,47,54,87.04,0,0,2,60,1322.4
Llano,Texas,2014-06-01,30,3,0,0,2,7,0,1,0,8,1,0,0,50,0,50,54,92.59,0,1,3,89,1961.56
Llano,Texas,2014-05-01,24,1,0,0,5,7,0,0,0,11,0,0,1,47,0,47,54,87.04,0,3,3,56,1234.24
Llano,Texas,2014-04-01,34,3,1,1,4,2,0,0,0,7,0,0,0,48,1,49,54,90.74,0,2,3,50,1102
Llano,Texas,2014-03-01,25,7,0,2,5,5,0,0,0,5,0,0,0,41,1,42,54,77.78,0,1,2,56,1234.24
Llano,Texas,2014-02-01,33,2,0,1,3,6,1,0,0,4,0,0,1,47,0,47,54,87.04,0,3,4,74,1630.96
Llano,Texas,2014-01-01,34,4,1,3,1,6,0,0,0,1,0,0,2,48,0,48,54,88.89,0,0,3,87,1917.48
Llano,Texas,2013-12-01,32,4,0,4,1,5,0,0,0,3,1,0,3,49,0,49,54,90.74,0,0,2,60,1322.4
Llano,Texas,2013-11-01,28,4,1,2,3,6,0,0,0,3,2,1,0,43,0,43,54,79.63,0,1,2,62,1366.48
Llano,Texas,2013-10-01,32,5,3,4,3,3,0,0,0,2,0,0,0,42,0,42,54,77.78,0,3,3,64,1410.56
Llano,Texas,2013-09-01,33,3,4,5,4,11,0,0,0,3,0,0,1,54,0,54,54,100,0,1,2,53,1168.12
Llano,Texas,2013-08-01,33,1,2,4,4,6,1,1,0,3,1,0,1,48,0,48,54,88.89,0,1,1,31,683.24
Llano,Texas,2013-07-01,29,0,0,8,4,6,0,1,0,3,0,0,3,54,0,54,54,100,0,0,1,4,88.16
Llano,Texas,2013-06-01,32,2,1,4,2,2,1,0,0,5,0,0,1,49,0,49,54,90.74,0,0,0,0,0
Llano,Texas,2013-05-01,22,1,1,5,3,6,1,0,0,2,1,0,1,43,0,43,54,79.63,0,0,0,0,0
Llano,Texas,2013-04-01,18,0,0,1,6,2,1,1,0,3,0,0,1,33,0,33,54,61.11,16,0,0,0,0
Llano,Texas,2013-03-01,26,0,0,3,4,1,0,1,0,9,0,1,2,45,0,45,54,83.33,0,1,0,0,0
Llano,Texas,2013-02-01,20,1,0,4,3,7,1,2,0,8,1,2,0,47,0,47,54,87.04,0,0,0,0,0
Llano,Texas,2013-01-01,16,0,2,3,3,2,0,0,0,6,0,2,0,34,0,34,54,62.96,15,1,0,0,0
Llano,Texas,2012-12-01,9,0,1,6,2,3,0,0,0,5,1,2,2,31,0,31,54,57.41,18,1,0,0,0
