county,state,year,number_of_inmates_booked,average_daily_population
Crawford,Illinois,2016,1249,34.4
Crawford,Illinois,2015,1432,27
Crawford,Illinois,2014,1222,20.9
Crawford,Illinois,2013,1229,22.9
Crawford,Illinois,2012,1397,27
Crawford,Illinois,2011,1610,38.3
Crawford,Illinois,2010,1614,27.7
Crawford,Illinois,2009,998,17.6
Crawford,Illinois,2008,1061,16.6
Crawford,Illinois,2007,1051,21.8
Crawford,Illinois,2006,1328,31.9
Crawford,Illinois,2005,1394,29
Crawford,Illinois,2004,1621,28.1
Crawford,Illinois,2003,1282,35.6
Crawford,Illinois,2002,1033,19.2
Crawford,Illinois,2001,921,58.3
Crawford,Illinois,2000,931,61
Crawford,Illinois,1999,527,27.6
Crawford,Illinois,1998,326,11
Crawford,Illinois,1997,215,13
Crawford,Illinois,1996,205,11
Crawford,Illinois,1995,232,12
Crawford,Illinois,1994,245.8,12.3
Crawford,Illinois,1993,259.5,12.5
Crawford,Illinois,1992,273.3,12.8
Crawford,Illinois,1991,287,13
Crawford,Illinois,1990,286,10.1
Crawford,Illinois,1989,339,20
Crawford,Illinois,1988,376,13
Crawford,Illinois,1987,336,14
Crawford,Illinois,1986,228,15
Crawford,Illinois,1985,176,6
Crawford,Illinois,1984,180,8
Crawford,Illinois,1983,178,5
Crawford,Illinois,1982,184,2
Crawford,Illinois,1981,182,2
