county,state,year,number_of_inmates_booked,average_daily_population
Putnam,Illinois,2016,22,0.3
Putnam,Illinois,2015,23,0.5
Putnam,Illinois,2014,16,2.1
Putnam,Illinois,2013,24,2.7
Putnam,Illinois,2012,32,2.7
Putnam,Illinois,2011,33,2.1
Putnam,Illinois,2010,21,1.9
Putnam,Illinois,2009,26,2.4
Putnam,Illinois,2008,39,3.5
Putnam,Illinois,2007,47,2.2
Putnam,Illinois,2006,30,2.5
Putnam,Illinois,2005,13,2.1
Putnam,Illinois,2004,13,0
Putnam,Illinois,2003,31,2
Putnam,Illinois,2002,37,1.2
Putnam,Illinois,2001,37,1.3
Putnam,Illinois,2000,21,1.6
Putnam,Illinois,1999,35,0.1
Putnam,Illinois,1998,20,1
Putnam,Illinois,1997,13,0.3
Putnam,Illinois,1996,3,0.6
Putnam,Illinois,1995,5,1
Putnam,Illinois,1994,8.5,1
Putnam,Illinois,1993,12,1
Putnam,Illinois,1992,15.5,1
Putnam,Illinois,1991,19,1
Putnam,Illinois,1990,21,1.1
Putnam,Illinois,1989,20,1
Putnam,Illinois,1988,13,1
Putnam,Illinois,1987,10,1
Putnam,Illinois,1986,1,1
Putnam,Illinois,1985,28,1
Putnam,Illinois,1984,15,1
Putnam,Illinois,1983,23,1
Putnam,Illinois,1982,29,1
Putnam,Illinois,1981,86,2
