county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Hill,Texas,2017-12-01,69,12,0,0,11,10,4,1,0,9,0,6,0,122,0,122,203,60.1,61,,,,
Hill,Texas,2017-11-01,69,11,0,3,5,6,2,2,0,11,0,4,0,113,0,113,203,55.67,70,1,4,96,2623.68
Hill,Texas,2017-10-01,57,12,0,12,1,11,8,1,0,11,0,5,3,121,0,121,203,59.61,62,0,9,111,3033.63
Hill,Texas,2017-09-01,55,11,0,7,3,18,13,1,0,9,0,3,1,121,0,121,203,59.61,62,2,6,156,4263.48
Hill,Texas,2017-08-01,53,7,2,6,4,24,5,0,0,15,0,4,4,124,0,124,203,61.08,59,2,1,31,847.23
Hill,Texas,2017-07-01,50,5,0,4,5,14,7,0,0,9,0,7,4,105,0,105,203,51.72,78,2,3,35,956.55
Hill,Texas,2017-06-01,45,7,1,8,4,17,8,0,0,11,0,7,4,112,0,112,203,55.17,71,0,6,95,2596.35
Hill,Texas,2017-05-01,35,12,0,4,3,19,7,0,0,17,2,3,4,106,0,106,203,52.22,77,0,7,95,2596.35
Hill,Texas,2017-04-01,36,15,2,4,7,17,7,0,0,14,0,7,3,112,0,112,203,55.17,71,1,4,123,3361.59
Hill,Texas,2017-03-01,41,7,3,5,4,21,8,1,0,9,0,3,2,104,0,104,203,51.23,79,1,4,78,2131.74
Hill,Texas,2017-02-01,44,11,1,7,6,16,4,0,0,9,0,5,2,105,0,105,203,51.72,78,1,2,62,1536.98
Hill,Texas,2017-01-01,46,8,3,4,9,16,2,0,0,12,1,7,2,110,0,110,203,54.19,73,1,2,62,1694.46
Hill,Texas,2016-12-01,55,12,2,0,14,12,3,0,0,5,1,4,3,111,0,111,203,54.68,72,1,4,81,2213.73
Hill,Texas,2016-11-01,47,10,0,4,13,17,5,2,0,7,0,10,1,116,0,116,243,47.74,103,1,6,147,4017.51
Hill,Texas,2016-10-01,45,13,0,2,11,14,9,5,0,9,0,10,2,120,0,120,243,49.38,99,2,6,122,3334.26
Hill,Texas,2016-09-01,38,17,0,6,11,14,4,0,0,12,0,4,5,111,0,111,243,45.68,108,3,3,47,1165.13
Hill,Texas,2016-08-01,49,20,2,3,10,9,3,4,0,13,0,4,1,118,0,118,243,48.56,101,6,2,18,446.22
Hill,Texas,2016-07-01,44,22,0,5,10,7,5,0,0,19,0,5,2,119,0,119,243,48.97,100,2,1,30,743.7
Hill,Texas,2016-06-01,50,21,0,5,8,10,6,1,0,26,0,6,8,141,0,141,243,58.02,78,2,1,31,768.49
Hill,Texas,2016-05-01,60,11,1,3,9,13,5,0,0,20,0,5,4,131,0,131,243,53.91,88,2,2,45,1115.55
Hill,Texas,2016-04-01,64,21,0,2,7,14,3,0,0,23,0,2,3,139,0,139,243,57.2,80,1,2,62,1536.98
Hill,Texas,2016-03-01,65,11,2,1,8,13,11,0,0,17,0,8,6,142,0,142,243,58.44,77,0,2,58,1437.82
Hill,Texas,2016-02-01,65,20,2,2,12,11,6,0,0,16,0,3,7,144,0,144,243,59.26,75,0,2,62,1536.98
Hill,Texas,2016-01-01,52,13,2,3,16,12,4,5,0,17,0,3,3,130,0,130,243,53.5,89,2,2,59,1462.61
Hill,Texas,2015-12-01,61,17,4,4,18,16,2,3,0,11,0,3,6,145,0,145,243,59.67,74,0,2,18,446.22
Hill,Texas,2015-11-01,67,17,0,1,18,15,5,3,0,10,1,3,3,143,0,143,243,58.85,76,2,3,74,1834.46
Hill,Texas,2015-10-01,79,11,1,1,16,9,2,1,0,12,1,4,1,138,0,138,243,56.79,81,4,4,68,1685.72
Hill,Texas,2015-09-01,77,21,4,2,19,17,9,1,0,12,1,5,3,171,2,173,243,71.19,46,0,4,97,2404.63
Hill,Texas,2015-08-01,66,18,1,1,17,10,8,0,0,14,1,4,1,141,2,143,243,58.85,76,1,7,94,2802.14
Hill,Texas,2015-07-01,73,14,2,3,15,11,9,0,0,24,1,4,3,159,1,160,243,65.84,59,3,9,212,5724
Hill,Texas,2015-06-01,57,27,1,3,19,15,5,0,0,26,0,3,2,158,3,161,243,66.26,58,2,11,277,7334.96
Hill,Texas,2015-05-01,53,16,1,4,17,21,7,2,0,22,0,6,1,150,11,161,243,66.26,58,3,11,292,7980.36
Hill,Texas,2015-04-01,48,31,2,1,21,15,5,2,0,23,0,3,3,154,14,168,243,69.14,51,0,11,287,7843.71
Hill,Texas,2015-03-01,58,17,3,0,14,13,13,2,0,25,0,8,0,153,15,168,243,69.14,51,0,297,287,7843.71
Hill,Texas,2015-02-01,61,14,4,0,14,18,8,2,0,19,0,6,2,148,12,160,243,65.84,59,1,12,264,7215.12
Hill,Texas,2015-01-01,59,24,3,1,15,11,7,3,0,21,0,4,2,150,16,166,243,68.31,53,1,9,245,6695.85
Hill,Texas,2014-12-01,56,20,1,2,17,9,8,4,0,22,1,3,2,145,19,164,243,67.49,55,1,7,171,4673.43
Hill,Texas,2014-11-01,71,14,4,3,15,10,5,3,0,18,0,4,2,149,17,166,243,68.31,53,1,4,93,2541.69
Hill,Texas,2014-10-01,68,18,0,3,16,11,5,1,0,18,2,6,3,151,13,164,243,67.49,55,1,7,93,2541.69
Hill,Texas,2014-09-01,74,27,1,3,17,22,7,1,0,25,0,4,2,183,12,195,243,80.25,24,1,9,161,4400.13
Hill,Texas,2014-08-01,63,24,1,2,13,14,6,2,0,19,0,3,0,147,15,162,243,66.67,57,1,9,164,4482.12
Hill,Texas,2014-07-01,62,21,1,4,11,20,13,2,0,21,0,4,1,160,16,176,243,72.43,43,2,9,146,3990.18
Hill,Texas,2014-06-01,58,12,1,7,11,21,17,2,0,19,0,7,2,157,15,172,243,70.78,47,1,8,184,5028.72
Hill,Texas,2014-05-01,51,22,3,3,10,13,14,2,0,20,0,2,2,142,16,158,243,65.02,61,2,9,188,5138.04
Hill,Texas,2014-04-01,54,29,0,2,10,13,12,3,0,29,0,5,4,161,9,170,243,69.96,49,1,10,260,7105.8
Hill,Texas,2014-03-01,67,11,1,3,7,12,7,3,0,27,1,2,5,146,16,162,243,66.67,57,0,9,178,4864.74
Hill,Texas,2014-02-01,54,14,1,3,6,14,12,3,0,19,1,1,3,131,15,146,243,60.08,73,1,9,208,5684.64
Hill,Texas,2014-01-01,51,19,1,5,10,13,11,2,0,14,2,2,2,132,6,138,243,56.79,81,2,11,239,6531.87
Hill,Texas,2013-12-01,61,23,1,4,10,24,12,3,0,25,1,6,2,172,7,179,243,73.66,40,2,13,258,7051.14
Hill,Texas,2013-11-01,62,25,0,5,11,14,8,3,0,12,1,8,3,152,10,162,243,66.67,57,0,6,156,4263.48
