county,state,year,number_of_inmates_booked,average_daily_population
Iroquois,Illinois,2016,686,21.5
Iroquois,Illinois,2015,766,25.2
Iroquois,Illinois,2014,581,16.4
Iroquois,Illinois,2013,712,17.8
Iroquois,Illinois,2012,817,22.9
Iroquois,Illinois,2011,858,25.6
Iroquois,Illinois,2010,827,25.1
Iroquois,Illinois,2009,1088,27.7
Iroquois,Illinois,2008,1136,23.7
Iroquois,Illinois,2007,1119,25.5
Iroquois,Illinois,2006,1306,28.7
Iroquois,Illinois,2005,1615,30.7
Iroquois,Illinois,2004,1818,33.6
Iroquois,Illinois,2003,1779,30.5
Iroquois,Illinois,2002,1725,25.9
Iroquois,Illinois,2001,1307,19.6
Iroquois,Illinois,2000,1257,16.7
Iroquois,Illinois,1999,1099,20.3
Iroquois,Illinois,1998,1100,22
Iroquois,Illinois,1997,1062,18
Iroquois,Illinois,1996,938,19
Iroquois,Illinois,1995,776,18
Iroquois,Illinois,1994,751.5,17.5
Iroquois,Illinois,1993,727,17
Iroquois,Illinois,1992,702.5,16.5
Iroquois,Illinois,1991,678,16
Iroquois,Illinois,1990,724,14.2
Iroquois,Illinois,1989,831,24
Iroquois,Illinois,1988,782,19
Iroquois,Illinois,1987,773,20
Iroquois,Illinois,1986,743,18
Iroquois,Illinois,1985,598,16
Iroquois,Illinois,1984,717,19
Iroquois,Illinois,1983,728,15
Iroquois,Illinois,1982,712,13
Iroquois,Illinois,1981,907,17
