county,state,year,number_of_inmates_booked,average_daily_population
Johnson,Illinois,2016,,
Johnson,Illinois,2015,,
Johnson,Illinois,2014,,
Johnson,Illinois,2013,,
Johnson,Illinois,2012,,
Johnson,Illinois,2011,,
Johnson,Illinois,2010,,
Johnson,Illinois,2009,,
Johnson,Illinois,2008,,
Johnson,Illinois,2007,,
Johnson,Illinois,2006,,
Johnson,Illinois,2005,,
Johnson,Illinois,2004,,
Johnson,Illinois,2003,,
Johnson,Illinois,2002,,
Johnson,Illinois,2001,,
Johnson,Illinois,2000,,
Johnson,Illinois,1999,,
Johnson,Illinois,1998,,
Johnson,Illinois,1997,,
Johnson,Illinois,1996,,
Johnson,Illinois,1995,,
Johnson,Illinois,1994,,
Johnson,Illinois,1993,,
Johnson,Illinois,1992,,
Johnson,Illinois,1991,,
Johnson,Illinois,1990,,
Johnson,Illinois,1989,,
Johnson,Illinois,1988,,
Johnson,Illinois,1987,,
Johnson,Illinois,1986,,
Johnson,Illinois,1985,,
Johnson,Illinois,1984,,
Johnson,Illinois,1983,,
Johnson,Illinois,1982,,
Johnson,Illinois,1981,,
