county,state,year,number_of_inmates_booked,average_daily_population
Wabash,Illinois,2016,336,11.6
Wabash,Illinois,2015,335,9.9
Wabash,Illinois,2014,360,14.2
Wabash,Illinois,2013,287,13.9
Wabash,Illinois,2012,300,14.1
Wabash,Illinois,2011,305,12.7
Wabash,Illinois,2010,312,10.5
Wabash,Illinois,2009,355,17.6
Wabash,Illinois,2008,342,16.7
Wabash,Illinois,2007,285,14.6
Wabash,Illinois,2006,314,16.8
Wabash,Illinois,2005,420,18.3
Wabash,Illinois,2004,339,14
Wabash,Illinois,2003,273,13.8
Wabash,Illinois,2002,288,12.4
Wabash,Illinois,2001,267,11.5
Wabash,Illinois,2000,278,10.6
Wabash,Illinois,1999,270,11.5
Wabash,Illinois,1998,267,12
Wabash,Illinois,1997,250,10
Wabash,Illinois,1996,235,11
Wabash,Illinois,1995,180,10
Wabash,Illinois,1994,190,10
Wabash,Illinois,1993,200,10
Wabash,Illinois,1992,210,10
Wabash,Illinois,1991,220,10
Wabash,Illinois,1990,284,9
Wabash,Illinois,1989,292,7
Wabash,Illinois,1988,304,7
Wabash,Illinois,1987,323,8
Wabash,Illinois,1986,267,9
Wabash,Illinois,1985,356,9
Wabash,Illinois,1984,361,10
Wabash,Illinois,1983,415,11
Wabash,Illinois,1982,360,9
Wabash,Illinois,1981,483,10
