county,state,year,number_of_inmates_booked,average_daily_population
Marion,Illinois,2016,2285,101.3
Marion,Illinois,2015,2343,98.7
Marion,Illinois,2014,2099,101.8
Marion,Illinois,2013,2482,119.7
Marion,Illinois,2012,2831,124.4
Marion,Illinois,2011,2576,111.3
Marion,Illinois,2010,2735,101
Marion,Illinois,2009,2823,99.1
Marion,Illinois,2008,5389,115.4
Marion,Illinois,2007,2977,105.6
Marion,Illinois,2006,2636,91.5
Marion,Illinois,2005,2328,38.2
Marion,Illinois,2004,2043,38.9
Marion,Illinois,2003,1843,27.4
Marion,Illinois,2002,1829,32.4
Marion,Illinois,2001,1353,25.6
Marion,Illinois,2000,1786,22
Marion,Illinois,1999,2138,36.3
Marion,Illinois,1998,1676,24
Marion,Illinois,1997,1648,36
Marion,Illinois,1996,1493,35
Marion,Illinois,1995,1559,39
Marion,Illinois,1994,1555.5,34.8
Marion,Illinois,1993,1552,30.5
Marion,Illinois,1992,1548.5,26.3
Marion,Illinois,1991,1545,22
Marion,Illinois,1990,1875,34
Marion,Illinois,1989,2039,31
Marion,Illinois,1988,1421,31
Marion,Illinois,1987,1174,32
Marion,Illinois,1986,780,34
Marion,Illinois,1985,721,23
Marion,Illinois,1984,567,21
Marion,Illinois,1983,554,22
Marion,Illinois,1982,554,15
Marion,Illinois,1981,593,21
