county,state,year,number_of_inmates_booked,average_daily_population
Whiteside,Illinois,2016,986,82.8
Whiteside,Illinois,2015,1064,90.6
Whiteside,Illinois,2014,1060,84.1
Whiteside,Illinois,2013,1045,74.5
Whiteside,Illinois,2012,1249,114.3
Whiteside,Illinois,2011,1360,110.3
Whiteside,Illinois,2010,1473,108.8
Whiteside,Illinois,2009,1588,108.4
Whiteside,Illinois,2008,1607,100.2
Whiteside,Illinois,2007,1655,101.8
Whiteside,Illinois,2006,1793,103.1
Whiteside,Illinois,2005,1110,98.9
Whiteside,Illinois,2004,1233,97.3
Whiteside,Illinois,2003,1337,89.1
Whiteside,Illinois,2002,1269,84.2
Whiteside,Illinois,2001,1357,90.9
Whiteside,Illinois,2000,1400,87
Whiteside,Illinois,1999,1232,83.9
Whiteside,Illinois,1998,1186,98
Whiteside,Illinois,1997,1045,93
Whiteside,Illinois,1996,997,84
Whiteside,Illinois,1995,734,78
Whiteside,Illinois,1994,781.8,76.3
Whiteside,Illinois,1993,829.5,74.5
Whiteside,Illinois,1992,877.3,72.8
Whiteside,Illinois,1991,925,71
Whiteside,Illinois,1990,907,68.5
Whiteside,Illinois,1989,900,62
Whiteside,Illinois,1988,994,64
Whiteside,Illinois,1987,896,58
Whiteside,Illinois,1986,758,62
Whiteside,Illinois,1985,754,43
Whiteside,Illinois,1984,733,43
Whiteside,Illinois,1983,756,46
Whiteside,Illinois,1982,725,44
Whiteside,Illinois,1981,700,40
