county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Sutter,California,2018-12-01,118,11,51,11,191,126,57,183,3,5,8,265,,,,,,,16,,1,0,0,1,0,0,8,0,351,0,0,0,,,,,,,
Sutter,California,2018-11-01,133,13,54,10,210,125,63,188,21,1,22,248,,,,,,,16,,1,0,0,0,0,0,16,0,334,0,0,0,,,,,,,
Sutter,California,2018-10-01,118,16,51,12,197,119,60,179,15,3,18,260,,,,,,,17,,2,0,0,0,0,1,8,0,385,0,0,0,,,,,,,
Sutter,California,2018-09-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,California,2018-08-01,116,12,52,19,199,118,66,184,10,5,15,279,,,,,,,,,1,0,0,1,0,1,8,0,444,0,0,0,,,,,,,
Sutter,California,2018-07-01,128,15,69,23,235,130,90,220,13,2,15,294,,,,,,,,,3,0,0,1,0,2,11,0,439,0,0,0,,,,,,,
Sutter,California,2018-06-01,123,19,60,31,233,124,88,212,18,3,21,289,,,,,,,,,1,0,0,1,0,1,10,0,410,0,0,0,,,,,,,
Sutter,California,2018-05-01,138,12,52,22,224,140,70,210,10,4,14,300,,,,,,,,,0,0,0,0,0,2,11,0,441,0,0,0,,,,,,,
Sutter,California,2018-04-01,131,18,50,24,223,138,71,209,11,3,14,300,,,,,,,,,2,0,0,0,0,2,9,0,403,0,0,0,,,,,,,
Sutter,California,2018-03-01,131,17,45,25,218,142,46,188,20,10,30,294,,,,,,,,,2,0,0,2,0,0,16,0,399,0,0,0,,,,,,,
Sutter,California,2018-02-01,134,14,49,26,223,133,71,204,8,11,19,299,,,,,,,,,1,0,0,2,0,0,4,0,339,0,0,0,,,,,,,
Sutter,California,2018-01-01,132,14,54,25,225,151,52,203,11,11,22,286,,,,,,,,,1,0,0,2,0,0,8,0,383,0,0,0,,,,,,,
Sutter,California,2017-12-01,135,7,46,22,210,109,85,194,2,14,16,264,,,,,,,,,2,0,0,2,0,0,11,0,373,0,0,0,,,,,,,
Sutter,California,2017-11-01,138,5,63,22,228,139,68,207,13,8,21,272,,,,,,,,,1,0,0,2,0,0,9,0,377,0,0,0,,,,,,,
Sutter,California,2017-10-01,129,6,52,24,211,117,76,193,8,10,18,274,,,,,,,,,2,0,0,2,0,0,6,0,402,0,0,0,,,,,,,
Sutter,California,2017-09-01,143,9,50,25,227,108,93,201,8,18,26,284,,,,,,,,,0,0,0,2,0,0,10,0,390,0,0,0,,,,,,,
Sutter,California,2017-08-01,156,5,54,36,251,126,99,225,13,13,26,307,,,,,,,,,3,0,0,2,0,0,8,0,415,0,0,0,,,,,,,
Sutter,California,2017-07-01,152,5,64,27,248,134,99,233,3,12,15,299,,,,,,,,,2,0,0,2,0,0,13,0,383,0,0,0,,,,,,,
