county,state,year,number_of_inmates_booked,average_daily_population
Vermilion,Illinois,2016,4718,188.3
Vermilion,Illinois,2015,4900,209.4
Vermilion,Illinois,2014,4550,244.1
Vermilion,Illinois,2013,4827,229.6
Vermilion,Illinois,2012,5050,210.8
Vermilion,Illinois,2011,4643,215.7
Vermilion,Illinois,2010,5275,278.3
Vermilion,Illinois,2009,5551,291.1
Vermilion,Illinois,2008,6005,316.2
Vermilion,Illinois,2007,6804,312.3
Vermilion,Illinois,2006,5990,320.3
Vermilion,Illinois,2005,6159,330.1
Vermilion,Illinois,2004,6273,318.9
Vermilion,Illinois,2003,6355,237.4
Vermilion,Illinois,2002,6871,243.8
Vermilion,Illinois,2001,5655,189.5
Vermilion,Illinois,2000,6343,209.2
Vermilion,Illinois,1999,6736,201.3
Vermilion,Illinois,1998,,
Vermilion,Illinois,1997,,195
Vermilion,Illinois,1996,,157
Vermilion,Illinois,1995,5112,157
Vermilion,Illinois,1994,5112,157
Vermilion,Illinois,1993,5112,157
Vermilion,Illinois,1992,5112,157
Vermilion,Illinois,1991,5112,157
Vermilion,Illinois,1990,5231,152.2
Vermilion,Illinois,1989,5099,120
Vermilion,Illinois,1988,4352,95
Vermilion,Illinois,1987,4665,97
Vermilion,Illinois,1986,3915,106
Vermilion,Illinois,1985,4290,111
Vermilion,Illinois,1984,4181,94
Vermilion,Illinois,1983,4306,69
Vermilion,Illinois,1982,1961,57
Vermilion,Illinois,1981,700,60
