county,state,year,number_of_inmates_booked,average_daily_population
Warren,Illinois,2016,392,13.3
Warren,Illinois,2015,295,14.4
Warren,Illinois,2014,351,15.2
Warren,Illinois,2013,423,19.3
Warren,Illinois,2012,446,16.7
Warren,Illinois,2011,532,19.7
Warren,Illinois,2010,463,17.5
Warren,Illinois,2009,513,22.7
Warren,Illinois,2008,421,20.1
Warren,Illinois,2007,562,19
Warren,Illinois,2006,515,18.2
Warren,Illinois,2005,486,16.6
Warren,Illinois,2004,446,13
Warren,Illinois,2003,336,11.9
Warren,Illinois,2002,513,17.3
Warren,Illinois,2001,473,14
Warren,Illinois,2000,434,14.5
Warren,Illinois,1999,455,14
Warren,Illinois,1998,452,17
Warren,Illinois,1997,400,21
Warren,Illinois,1996,348,20
Warren,Illinois,1995,316,20
Warren,Illinois,1994,289.5,19.3
Warren,Illinois,1993,263,18.5
Warren,Illinois,1992,236.5,17.8
Warren,Illinois,1991,210,17
Warren,Illinois,1990,200,18.1
Warren,Illinois,1989,234,18
Warren,Illinois,1988,243,20
Warren,Illinois,1987,257,15
Warren,Illinois,1986,205,21
Warren,Illinois,1985,311,18
Warren,Illinois,1984,251,19
Warren,Illinois,1983,259,16
Warren,Illinois,1982,282,17
Warren,Illinois,1981,207,12
