county,state,year,number_of_inmates_booked,average_daily_population
Pike,Illinois,2016,576,36.5
Pike,Illinois,2015,564,32.9
Pike,Illinois,2014,465,22.1
Pike,Illinois,2013,446,25.4
Pike,Illinois,2012,486,29.3
Pike,Illinois,2011,710,31
Pike,Illinois,2010,797,33.6
Pike,Illinois,2009,1019,31.1
Pike,Illinois,2008,1050,27.6
Pike,Illinois,2007,731,30.4
Pike,Illinois,2006,953,26.9
Pike,Illinois,2005,949,30
Pike,Illinois,2004,924,33.5
Pike,Illinois,2003,604,9.9
Pike,Illinois,2002,512,8.9
Pike,Illinois,2001,510,6.3
Pike,Illinois,2000,474,14
Pike,Illinois,1999,421,24.4
Pike,Illinois,1998,481,8
Pike,Illinois,1997,572,31
Pike,Illinois,1996,519,13
Pike,Illinois,1995,482,16
Pike,Illinois,1994,474.5,13.8
Pike,Illinois,1993,467,11.5
Pike,Illinois,1992,459.5,9.3
Pike,Illinois,1991,452,7
Pike,Illinois,1990,429,3.8
Pike,Illinois,1989,496,11
Pike,Illinois,1988,449,7
Pike,Illinois,1987,282,6
Pike,Illinois,1986,364,10
Pike,Illinois,1985,344,6
Pike,Illinois,1984,351,6
Pike,Illinois,1983,309,9
Pike,Illinois,1982,301,8
Pike,Illinois,1981,437,7
