county,state,year,number_of_inmates_booked,average_daily_population
White,Illinois,2016,1314,43.8
White,Illinois,2015,1498,65.5
White,Illinois,2014,1463,64
White,Illinois,2013,1520,72.5
White,Illinois,2012,1561,67.3
White,Illinois,2011,1591,73.7
White,Illinois,2010,1636,78.7
White,Illinois,2009,1280,73.3
White,Illinois,2008,1353,66.7
White,Illinois,2007,1140,62
White,Illinois,2006,1276,64.3
White,Illinois,2005,1423,68.3
White,Illinois,2004,1423,75
White,Illinois,2003,1804,75
White,Illinois,2002,1214,75.8
White,Illinois,2001,1114,69.6
White,Illinois,2000,1062,67.6
White,Illinois,1999,904,63.7
White,Illinois,1998,928,39
White,Illinois,1997,1132,46
White,Illinois,1996,1598,43
White,Illinois,1995,1013,21
White,Illinois,1994,1081.5,24.3
White,Illinois,1993,1150,27.5
White,Illinois,1992,1218.5,30.8
White,Illinois,1991,1287,34
White,Illinois,1990,1136,39
White,Illinois,1989,793,24
White,Illinois,1988,906,32
White,Illinois,1987,746,32
White,Illinois,1986,680,35
White,Illinois,1985,524,30
White,Illinois,1984,589,13
White,Illinois,1983,666,13
White,Illinois,1982,671,12
White,Illinois,1981,631,12
