county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Trinity,California,2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2019-06-01,46,9,5,1,61,55,6,61,0,0,0,71,7,4,12,0,33,33,5,16,0,2,0,0,0,0,4,0,86,7,3,0,,,,,,,
Trinity,California,2019-05-01,53,11,4,1,69,55,4,59,9,1,10,74,7,11,12,0,31,31,7,12,0,2,0,0,0,0,2,0,53,22,3,0,,,,,,,
Trinity,California,2019-04-01,52,10,5,1,68,55,5,60,7,1,8,79,3,5,20,5,36,36,9,21,0,5,0,0,0,0,4,0,61,13,5,0,,,,,,,
Trinity,California,2019-03-01,49,10,4,2,65,52,5,57,7,1,8,74,0,1,11,1,30,30,6,7,0,5,0,0,0,0,1,0,48,18,2,0,,,,,,,
Trinity,California,2019-02-01,48,7,5,3,63,49,7,56,6,1,7,68,1,4,9,1,36,36,8,13,0,7,0,0,0,0,3,1,63,51,3,0,,,,,,,
Trinity,California,2019-01-01,46,9,5,3,63,55,8,63,0,0,0,72,17,3,14,1,29,29,6,9,0,6,0,0,0,0,3,0,59,45,4,0,,,,,,,
Trinity,California,2018-12-01,47,10,5,3,65,52,7,59,5,1,6,65,15,6,12,,27,16,11,24,,2,0,0,0,0,1,0,38,22,4,0,,,,,,,
Trinity,California,2018-11-01,51,9,5,2,67,55,6,61,5,1,6,73,16,7,13,,60,30,9,8,0,1,0,0,0,0,1,0,49,34,1,0,,,,,,,
Trinity,California,2018-10-01,46,8,7,2,63,50,6,56,4,3,7,65,9,4,11,,28,17,10,25,,1,0,0,0,0,1,0,67,30,2,0,,,,,,,
Trinity,California,2018-09-01,49,6,7,2,64,52,6,58,3,3,6,64,10,3,8,,40,22,3,25,,0,0,0,0,0,0,0,48,23,6,0,,,,,,,
Trinity,California,2018-08-01,56,7,6,2,71,57,5,62,6,3,9,71,9,4,9,,41,25,4,27,,2,0,0,0,0,0,0,33,10,3,0,,,,,,,
Trinity,California,2018-07-01,45,5,9,2,61,45,8,53,5,3,8,62,11,3,10,,43,21,4,26,,2,0,0,0,0,0,0,71,40,8,0,,,,,,,
Trinity,California,2018-06-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2018-05-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2018-04-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2018-03-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2018-02-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2018-01-01,45,4,6,6,61,42,11,53,7,1,8,65,10,3,8,,39,22,3,25,,2,0,0,0,0,0,0,50,31,3,0,,,,,,,
Trinity,California,2017-12-01,0,0,0,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,California,2017-11-01,32,4,18,6,60,31,21,52,5,3,8,61,0,2,13,0,52,44,1,8,0,2,0,0,0,0,3,0,54,29,9,0,,,,,,,
Trinity,California,2017-10-01,33,2,17,4,56,31,19,50,4,2,6,62,0,2,20,0,62,53,0,9,0,2,0,0,0,0,2,0,66,35,6,0,,,,,,,
Trinity,California,2017-09-01,34,1,10,6,51,32,15,47,3,1,4,58,0,2,12,0,71,63,1,8,0,2,0,0,0,0,2,0,64,38,4,0,,,,,,,
Trinity,California,2017-08-01,29,1,14,6,50,28,18,46,2,2,4,54,0,3,10,0,62,56,0,6,0,2,0,0,0,0,1,0,60,38,9,0,,,,,,,
Trinity,California,2017-07-01,30,3,11,5,49,30,14,44,3,2,5,51,0,1,8,0,53,50,0,5,0,2,0,0,0,0,0,0,53,27,3,0,,,,,,,
Trinity,California,2017-06-01,24,3,11,4,42,24,14,38,3,1,4,46,1,3,9,0,67,54,0,7,0,2,0,0,0,0,0,0,76,45,4,0,,,,,,,
Trinity,California,2017-05-01,19,2,17,4,42,17,19,36,4,2,6,47,0,2,11,0,69,60,0,4,0,2,0,0,0,0,4,0,56,40,7,0,,,,,,,
Trinity,California,2017-04-01,19,2,19,5,45,18,21,39,3,3,6,45,0,1,10,0,54,50,0,4,0,2,0,0,0,0,1,0,58,38,4,0,,,,,,,
Trinity,California,2017-03-01,23,3,21,4,51,22,23,45,4,2,6,51,0,2,14,0,47,42,0,5,0,2,0,0,0,0,1,0,51,36,3,0,,,,,,,
Trinity,California,2017-02-01,39,4,7,1,51,40,7,47,3,1,4,53,0,5,14,0,46,42,0,4,0,2,0,0,0,0,2,0,46,28,7,0,,,,,,,
Trinity,California,2017-01-01,32,2,9,2,45,30,9,39,4,2,6,55,0,4,11,0,51,46,1,5,0,1,0,0,0,0,2,0,72,33,12,0,,,,,,,
Trinity,California,2016-12-01,34,3,12,0,49,32,9,41,5,3,8,49,1,2,10,0,66,60,0,6,0,2,0,0,0,0,0,0,70,46,11,0,,,,,,,
Trinity,California,2016-11-01,35,4,13,0,52,36,12,48,3,1,4,56,0,3,12,0,58,56,0,2,0,2,0,0,0,0,0,0,49,28,9,0,,,,,,,
Trinity,California,2016-10-01,38,6,14,0,58,40,13,53,4,1,5,72,0,3,10,0,61,54,0,7,0,3,0,0,0,0,1,0,79,46,13,0,,,,,,,
Trinity,California,2016-09-01,39,6,9,0,54,41,7,48,4,2,6,58,1,1,10,0,113,100,1,13,0,3,0,0,0,0,2,0,58,20,6,0,,,,,,,
Trinity,California,2016-08-01,33,6,8,0,47,34,7,41,5,1,6,52,0,3,10,0,123,105,1,18,0,3,0,0,0,0,1,0,58,33,6,0,,,,,,,
Trinity,California,2016-07-01,34,7,10,0,51,38,9,47,3,1,4,60,0,1,7,0,101,76,2,25,0,2,0,0,0,0,2,0,77,34,6,0,,,,,,,
Trinity,California,2016-06-01,34,8,11,0,53,38,9,47,4,2,6,54,0,1,8,0,66,58,0,8,0,2,0,0,0,0,1,0,50,26,9,0,,,,,,,
Trinity,California,2016-05-01,35,6,6,0,47,37,4,41,4,2,6,51,0,2,12,0,68,60,0,8,0,2,0,0,0,0,2,0,68,27,9,0,,,,,,,
Trinity,California,2016-04-01,32,8,8,0,48,37,6,43,3,2,5,52,1,1,10,0,58,54,0,4,0,3,0,0,0,0,2,0,68,26,4,0,,,,,,,
Trinity,California,2016-03-01,31,6,10,2,49,34,10,44,3,2,5,56,0,2,11,0,67,58,0,9,0,3,0,0,0,0,1,0,55,22,13,0,,,,,,,
Trinity,California,2016-02-01,34,6,12,2,54,37,12,49,3,2,5,60,2,6,9,0,66,54,0,12,0,2,0,0,0,0,2,0,59,14,5,0,,,,,,,
Trinity,California,2016-01-01,40,8,8,0,56,44,5,49,4,3,7,57,0,2,15,0,71,59,1,12,0,3,0,0,0,0,3,0,50,20,6,0,,,,,,,
Trinity,California,2015-12-01,40,7,10,1,58,42,7,49,5,4,9,58,0,4,16,0,66,30,1,16,0,3,0,0,0,0,2,0,48,22,4,0,,,,,,,
Trinity,California,2015-11-01,34,6,12,3,55,36,10,46,4,5,9,55,0,5,18,0,63,52,0,11,0,3,0,0,0,0,2,0,62,27,11,0,,,,,,,
Trinity,California,2015-10-01,39,5,10,2,56,39,8,47,5,4,9,56,1,6,13,0,64,55,0,9,0,3,0,0,0,0,0,0,48,9,7,0,,,,,,,
Trinity,California,2015-09-01,41,5,9,0,55,41,7,48,5,2,7,56,0,4,12,0,71,66,0,5,0,3,0,0,0,0,2,0,57,18,5,0,,,,,,,
Trinity,California,2015-08-01,36,4,11,0,51,36,10,46,4,1,5,59,0,3,13,0,48,44,2,4,0,2,0,0,0,0,2,0,82,0,8,0,,,,,,,
Trinity,California,2015-07-01,35,3,11,0,49,34,8,42,4,3,7,58,0,2,13,0,113,102,2,11,0,3,0,0,0,0,1,0,87,1,10,0,,,,,,,
Trinity,California,2015-06-01,36,4,11,0,51,35,9,44,5,2,7,52,0,2,10,0,124,118,0,6,0,3,0,0,0,0,2,0,75,0,5,0,,,,,,,
Trinity,California,2015-05-01,33,4,12,0,49,33,10,43,4,2,6,50,1,4,12,0,120,111,0,9,0,2,0,0,0,0,2,0,58,0,5,0,,,,,,,
Trinity,California,2015-04-01,37,5,8,0,50,39,7,46,3,1,4,51,0,3,13,0,70,67,0,11,0,2,0,0,0,0,0,0,64,0,1,0,,,,,,,
Trinity,California,2015-03-01,35,2,7,0,44,34,6,40,3,1,4,48,0,5,11,0,66,59,0,7,0,2,0,0,0,0,1,0,73,0,4,0,,,,,,,
