county,state,year,number_of_inmates_booked,average_daily_population
Edgar,Illinois,2016,817,24.2
Edgar,Illinois,2015,887,24.7
Edgar,Illinois,2014,1143,29.5
Edgar,Illinois,2013,1018,31.7
Edgar,Illinois,2012,806,28.3
Edgar,Illinois,2011,795,28.4
Edgar,Illinois,2010,924,30.4
Edgar,Illinois,2009,899,31.6
Edgar,Illinois,2008,1294,33
Edgar,Illinois,2007,1361,32.9
Edgar,Illinois,2006,1238,32
Edgar,Illinois,2005,529,31.8
Edgar,Illinois,2004,613,38.4
Edgar,Illinois,2003,546,32.2
Edgar,Illinois,2002,664,28.6
Edgar,Illinois,2001,235,15.5
Edgar,Illinois,2000,207,11.5
Edgar,Illinois,1999,394,21.2
Edgar,Illinois,1998,296,16
Edgar,Illinois,1997,299,15
Edgar,Illinois,1996,284,20
Edgar,Illinois,1995,302,19
Edgar,Illinois,1994,295.8,17.5
Edgar,Illinois,1993,289.5,16
Edgar,Illinois,1992,283.3,14.5
Edgar,Illinois,1991,277,13
Edgar,Illinois,1990,332,5.6
Edgar,Illinois,1989,307,5
Edgar,Illinois,1988,436,6
Edgar,Illinois,1987,367,6
Edgar,Illinois,1986,375,6
Edgar,Illinois,1985,295,7
Edgar,Illinois,1984,270,4
Edgar,Illinois,1983,397,6
Edgar,Illinois,1982,427,5
Edgar,Illinois,1981,321,4
